Player,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Joseph Addai,,,15.0,14.0,7.0,10.0,5.0,3.0,,,,,,,,,
Jay Ajayi,,2.0,10.0,7.0,,,,,,,,,,,,,
Javorius Allen,,,,5.0,0.0,7.0,2.0,0.0,,,,,,,,,
Deon Anderson,,,,1.0,0.0,0.0,,,,,,,,,,,
J.J. Arrington,,3.0,2.0,3.0,5.0,,,,,,,,,,,,
B.J. Askew,,,0.0,0.0,0.0,1.0,2.0,1.0,,,,,,,,,
Kalen Ballage,,,2.0,1.0,3.0,0.0,,,,,,,,,,,
Marion Barber III,,4.0,7.0,11.0,8.0,8.0,3.0,3.0,,,,,,,,,
Kenjon Barner,,,,0.0,,1.0,1.0,1.0,0.0,1.0,,,,,,,
Le'Veon Bell,8.0,17.0,,15.0,15.0,,5.0,3.0,0.0,,,,,,,,
Tatum Bell,,,3.0,8.0,8.0,,,,,,,,,,,,
Cedric Benson,,,2.0,5.0,5.0,3.0,9.0,7.0,7.0,,,,,,,,
Giovani Bernard,,9.0,7.0,10.0,4.0,7.0,3.0,2.0,5.0,1.0,0.0,,,,,,
Ladell Betts,,,3.0,3.0,3.0,4.0,12.0,3.0,3.0,3.0,2.0,,,,,,
Alfred Blue,,,4.0,5.0,3.0,2.0,5.0,,,,,,,,,,
Devontae Booker,,,,5.0,3.0,3.0,1.0,4.0,5.0,,,,,,,,
Ahmad Bradshaw,1.0,3.0,7.0,10.0,7.0,11.0,,5.0,,,,,,,,,
Chris Brown,,2.0,9.0,8.0,,4.0,,2.0,,,,,,,,,
Donald Brown,,4.0,6.0,4.0,3.0,6.0,3.0,2.0,,,,,,,,,
Ronnie Brown,,,,8.0,7.0,,9.0,5.0,4.0,1.0,4.0,2.0,1.0,,,,
Rex Burkhead,,,,1.0,1.0,3.0,5.0,2.0,4.0,3.0,3.0,2.0,,,,,
Michael Bush,,,,4.0,4.0,6.0,8.0,4.0,2.0,,,,,,,,
Reggie Bush,12.0,8.0,10.0,6.0,3.0,10.0,8.0,10.0,4.0,,1.0,,,,,,
Ka'Deem Carey,,1.0,1.0,1.0,,,,,,,,,,,,,
Chris Carson,,,,9.0,10.0,8.0,,,,,,,,,,,
Rock Cartwright,,,1.0,4.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,,,,,
Jamaal Charles,,5.0,9.0,17.0,,9.0,16.0,12.0,,,2.0,,,,,,
Tashard Choice,,,,4.0,3.0,3.0,2.0,1.0,1.0,,,,,,,,
Tevin Coleman,,3.0,9.0,7.0,8.0,6.0,1.0,2.0,,,,,,,,,
Alex Collins,,2.0,9.0,3.0,,,3.0,,,,,,,,,,
Kenneth Darby,,,,,,2.0,1.0,1.0,,,,,,,,,
Najeh Davenport,,,2.0,4.0,3.0,,3.0,6.0,,,,,,,,,
Knile Davis,,3.0,6.0,1.0,0.0,,,,,,,,,,,,
Mike Davis,,,,,,,7.0,5.0,0.0,,,,,,,,
Anthony Dixon,,,1.0,1.0,0.0,1.0,3.0,1.0,,,,,,,,,
T.J. Duckett,4.0,7.0,4.0,4.0,1.0,3.0,1.0,,,,,,,,,,
Omar Easy,,,,,,0.0,0.0,0.0,,,,,,,,,
Andre Ellington,,,,7.0,5.0,3.0,1.0,3.0,,,,,,,,,
Tyler Ervin,,,0.0,,0.0,0.0,2.0,,,,,,,,,,
Justin Fargas,,,1.0,1.0,0.0,3.0,8.0,5.0,3.0,,,,,,,,
Jerome Felton,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,
Tony Fiammetta,,,0.0,0.0,0.0,,1.0,,,,,,,,,,
Justin Forsett,,,0.0,6.0,5.0,2.0,3.0,1.0,12.0,4.0,2.0,,,,,,
Matt Forte,,,12.0,9.0,13.0,11.0,11.0,15.0,13.0,8.0,5.0,5.0,,,,,
DeShaun Foster,,,5.0,,12.0,6.0,6.0,3.0,,,,,,,,,
Leonard Fournette,,8.0,3.0,10.0,5.0,9.0,7.0,,,,,,,,,,
Jalston Fowler,,,,,0.0,0.0,0.0,,,,,,,,,,
Devonta Freeman,,4.0,12.0,15.0,9.0,,8.0,,4.0,,,,,,,,
Wayne Gallman,,,4.0,2.0,1.0,5.0,1.0,,,,,,,,,,
Quinton Ganther,,,,1.0,2.0,0.0,,,,,,,,,,,
Toby Gerhart,,,3.0,5.0,3.0,3.0,3.0,,,,,,,,,,
Frank Gore,,4.0,16.0,9.0,10.0,12.0,8.0,10.0,10.0,9.0,7.0,7.0,10.0,8.0,5.0,4.0,4.0
