Player,Prime Age
Robert Alford,28
David Amerson,24
Prince Amukamara,29
Nnamdi Asomugha,28
Johnthan Banks,25
Ron Bartell,27
Bashaud Breeland,23
Sheldon Brown,27
Tarell Brown,27
Phillip Buchanon,28
Brandon Carr,24
T.J. Carrie,28
Antoine Cason,25
Perrish Cox,28
Antonio Cromartie,24
Travis Daniels,24
Jason David,24
Vontae Davis,26
Pierre Desir,28
Demarcus Faggins,27
Cortland Finnegan,24
Travis Fisher,24
Drayton Florence,30
Brandon Flowers,24
Kyle Fuller,26
Chris Gamble,22
William Gay,27
Andre' Goodman,31
Eric Green,24
Cedric Griffin,26
Joe Haden,24
DeAngelo Hall,23
Leon Hall,25
Kelvin Hayden,25
Casey Hayward,28
Ellis Hobbs,24
Chris Houston,27
William Jackson III,27
Quentin Jammer,30
Jackrabbit Jenkins,27
Mike Jenkins,25
Kelly Jennings,26
Tim Jennings,29
Trumaine Johnson,26
Adam Jones,33
Byron Jones,27
Johnathan Joseph,28
Kevin King,25
Dre Kirkpatrick,27
Nevin Lawson,26
Keenan Lewis,27
Richard Marshall,26
Rashean Mathis,25
Byron Maxwell,27
Devin McCourty,24
Jason McCourty,25
Bryant McFadden,28
Terrence McGee,25
Leodis McKelvin,29
Captain Munnerlyn,25
Terence Newman,30
Josh Norman,29
Tracy Porter,24
Jerraud Powers,25
Damarious Randall,24
Jacques Reeves,26
Darrelle Revis,25
Xavier Rhodes,26
Dunta Robinson,29
Bradley Roby,27
Dominique Rodgers-Cromartie,29
Carlos Rogers,29
Logan Ryan,27
Asante Samuel,27
Lito Sheppard,24
Richard Sherman,25
Jimmy Smith,26
Sean Smith,25
Shawntae Spencer,23
Aqib Talib,29
Ike Taylor,28
Jamar Taylor,26
Charles Tillman,30
Greg Toler,29
Desmond Trufant,24
Marcus Trufant,26
Nathan Vasher,24
Alterraun Verner,25
Fabian Washington,26
Trae Waynes,26
Lardarius Webb,29
Corey Webster,29
Brian Williams,28
Cary Williams,28
Josh Wilson,24
Eric Wright,23
