Player,AV,Age,Pos,-9999
Eugene Amano,2,22,C,AmanEu20
Eugene Amano,1,23,C,AmanEu20
Eugene Amano,1,24,C,AmanEu20
Eugene Amano,6,28,C,AmanEu20
Eugene Amano,7,29,C,AmanEu20
David Baas,7,29,C,BaasDa20
David Baas,6,30,C,BaasDa20
David Baas,9,31,C,BaasDa20
LeCharles Bentley,8,25,C,BentLe00
LeCharles Bentley,7,26,C,BentLe00
Joe Berger,4,27,C,BergJo20
Joe Berger,6,28,C,BergJo20
Joe Berger,7,33,C,BergJo20
Joe Berger,6,34,C,BergJo20
Austin Blythe,1,24,C,BlytAu00
Austin Blythe,2,25,C,BlytAu00
Austin Blythe,8,27,RG/C,BlytAu00
Austin Blythe,6,28,C,BlytAu00
Russell Bodine,8,22,C,BodiRu00
Russell Bodine,9,23,C,BodiRu00
Russell Bodine,7,24,C,BodiRu00
Russell Bodine,6,25,C,BodiRu00
Russell Bodine,3,26,C,BodiRu00
Evan Boehm,2,23,C,BoehEv00
Evan Boehm,3,25,C,BoehEv00
Kevin Boothe,5,28,C,BootKe20
Luke Bowanko,5,23,C,BowaLu00
Luke Bowanko,2,26,C,BowaLu00
Justin Britt,7,25,C,BritJu00
Justin Britt,7,26,C,BritJu00
Justin Britt,8,27,C,BritJu00
Justin Britt,4,28,C,BritJu00
Justin Britt,3,30,C,BritJu00
Jason Brown,7,25,C,BrowJa23
Jason Brown,4,26,C,BrowJa23
Jason Brown,6,27,C,BrowJa23
Jason Brown,4,28,C/RG,BrowJa23
Antoine Caldwell,2,23,C,CaldAn20
Ryan Cook,2,26,C,CookRy20
Ryan Cook,6,29,C,CookRy20
Cameron Erving,5,24,C,ErviCa00
Jeff Faine,4,22,C,FainJe20
Jeff Faine,5,23,C,FainJe20
Jeff Faine,5,24,C,FainJe20
Jeff Faine,8,25,C,FainJe20
Jeff Faine,8,26,C,FainJe20
Jeff Faine,7,27,C,FainJe20
Jeff Faine,4,28,C,FainJe20
Jeff Faine,4,29,C,FainJe20
Jeff Faine,6,30,C,FainJe20
Jeff Faine,4,31,C,FainJe20
Melvin Fowler,5,24,C/LG,FowlMe20
Melvin Fowler,2,25,C,FowlMe20
Melvin Fowler,4,26,C,FowlMe20
Melvin Fowler,7,27,C,FowlMe20
Melvin Fowler,6,28,C,FowlMe20
Melvin Fowler,3,29,C,FowlMe20
Travis Frederick,9,22,C,FredTr00
Travis Frederick,12,23,C,FredTr00
Travis Frederick,9,24,C,FredTr00
Travis Frederick,15,25,C,FredTr00
Travis Frederick,11,26,C,FredTr00
Travis Frederick,11,28,C,FredTr00
Zach Fulton,7,26,C,FultZa00
Lamont Gaillard,2,24,C,GailLa00
Andy Gallik,4,24,C,GallAn00
Eric Ghiaciuc,7,25,C,GhiaEr20
Eric Ghiaciuc,7,26,C,GhiaEr20
Eric Ghiaciuc,5,27,C,GhiaEr20
Jonathan Goodwin,9,30,C,GoodJo23
Jonathan Goodwin,12,31,C,GoodJo23
Jonathan Goodwin,8,32,C,GoodJo23
Jonathan Goodwin,8,33,C,GoodJo23
Jonathan Goodwin,8,34,C,GoodJo23
Jonathan Goodwin,8,35,C,GoodJo23
Jonathan Goodwin,8,36,C,GoodJo23
Gino Gradkowski,7,25,C,GradGi00
John Greco,4,33,C,GrecJo20
Jake Grove,4,25,C,GrovJa20
Jake Grove,4,26,C,GrovJa20
Jake Grove,4,28,C,GrovJa20
Jake Grove,5,29,C,GrovJa20
Andre Gurode,4,24,RG/C,GuroAn20
Andre Gurode,13,28,C,GuroAn20
Andre Gurode,10,29,C,GuroAn20
Andre Gurode,10,30,C,GuroAn20
Andre Gurode,12,31,C,GuroAn20
Andre Gurode,10,32,C,GuroAn20
Andre Gurode,2,35,C,GuroAn20
Rex Hadnot,7,24,C,HadnRe20
Jon Halapio,7,28,C,HalaJo00
Geoff Hangartner,6,24,C,HangGe20
Geoff Hangartner,2,25,C,HangGe20
