Player,Prime Age
Gaines Adams,25
Victor Adeyanju,24
C.J. Ah You,28
Jared Allen,26
Jamaal Anderson,22
Mark Anderson,24
Ezekiel Ansah,25
Cliff Avril,29
Robert Ayers,31
Jason Babin,31
Allen Bailey,25
Dave Ball,29
Tarell Basham,24
Da'Quan Bowers,22
Andre Branch,27
Tyler Brayton,30
Raheem Brock,26
Michael Brockers,29
Alex Brown,26
Red Bryant,28
Chris Canty,25
Tank Carradine,26
Alex Carrington,24
Jurrell Casey,28
Luis Castillo,26
Anthony Chickillo,26
Will Clarke,25
Adrian Clayborn,28
Trent Cole,26
Kenyon Coleman,30
Tyrone Crawford,28
Tim Crowder,25
Vinny Curry,30
Mike Daniels,27
Chauncey Davis,23
Ryan Denney,27
Quinton Dial,26
Darnell Dockett,29
Glenn Dorsey,25
Elvis Dumervil,23
Carlos Dunlap,26
Kony Ealy,25
Dwan Edwards,29
Kalimba Edwards,28
Ray Edwards,24
Jonathan Fanene,26
Terrence Fede,25
Dwight Freeney,24
Robert Geathers,25
Vernon Gholston,23
Charles Grant,27
Jarvis Green,29
Everson Griffen,29
Tamba Hali,24
Carlos Hall,24
Greg Hardy,24
Anthony Hargrove,22
Derrick Harvey,23
Jason Hatcher,29
William Hayes,30
Michael Haynes,24
Akiem Hicks,28
Evander Hood,24
Lamarr Houston,24
Margus Hunt,30
Melvin Ingram,29
Matthew Ioannidis,24
Lawrence Jackson,24
Tyson Jackson,26
Jarvis Jenkins,26
Charles Johnson,27
Jarret Johnson,24
Michael Johnson,26
Datone Jones,25
Aaron Kampman,27
Brett Keisel,33
Kingsley Keke,24
Chris Kelsay,28
Paul Kruger,24
Travis LaBoy,26
Kendall Langford,23
Corey Lemonier,23
Corey Liuget,23
Chris Long,26
Aaron Lynch,26
Cassius Marsh,25
Kareem Martin,23
Jonathan Massaquoi,25
Robert Mathis,28
Aaron Maybin,22
Bobby McCray,26
Ray McDonald,28
Takkarist McKinley,23
Pernell McPhee,24
Jeremy Mincey,28
Damontre Moore,22
Derrick Morgan,23
Quentin Moses,26
Trent Murphy,29
Carl Nassib,24
Haloti Ngata,27
Rob Ninkovich,29
Alex Okafor,27
Igor Olshansky,26
Julius Peppers,31
Jason Pierre-Paul,23
Robert Quinn,23
Cory Redding,25
Brooks Reed,30
Kendall Reyes,25
Jay Richardson,24
Brian Robison,32
Matt Roth,24
Frostee Rucker,28
Darrion Scott,24
Trevor Scott,27
George Selvie,27
Jabaal Sheard,30
John Simon,29
Antonio Smith,31
Chris Smith,26
Will Smith,26
Marcus Spears,25
Randy Starks,27
Ndamukong Suh,33
Darryl Tapp,24
Devin Taylor,26
Bryan Thomas,26
Dave Tollefson,27
Justin Tuck,26
Stephon Tuitt,23
Osi Umenyiora,25
Olivier Vernon,25
Erik Walden,24
Ty Warren,24
J.J. Watt,25
Anthony Weaver,23
Dewayne White,27
Stylez G. White,30
Jimmy Wilkerson,27
Muhammad Wilkerson,25
Brandon Williams,29
Mario Williams,28
Sam Williams,28
C.J. Wilson,26
Derek Wolfe,25
Jarius Wynn,24
Willie Young,28
