Player,Prime Age
Anthony Adams,30
Beau Allen,26
Tyson Alualu,24
Geno Atkins,27
Jonathan Babineaux,28
Justin Bannan,29
Rocky Bernard,28
Ryon Bingham,26
Alan Branch,32
Josh Brent,23
Michael Brockers,24
Jay Bromley,23
Malcom Brown,22
Brodrick Bunkley,25
Chris Canty,29
Jurrell Casey,23
Shaun Cody,27
Terrence Cody,24
Barry Cofield,23
Xavier Cooper,25
Christian Covington,26
Tyrone Crawford,26
Marcell Dareus,24
Tyeler Davison,26
Brandon Deaderick,26
Darnell Dockett,25
Dominique Easley,23
Nick Eason,27
Dwan Edwards,32
Justin Ellis,25
Kenrick Ellis,26
Sedrick Ellis,24
Fred Evans,29
Nick Fairley,25
Ronald Fields,27
Sharrif Floyd,22
Andre Fluellen,24
Aubrayo Franklin,29
Kedric Golston,24
Howard Green,30
Letroy Guion,26
Rodney Gunter,24
Ra'Shede Hageman,25
Tommie Harris,23
Nick Hayden,28
Jovan Haye,26
Albert Haynesworth,27
John Henderson,26
Treyvon Hester,26
Sammie Lee Hill,27
Malik Jackson,27
Ricky Jean-Francois,25
Jarvis Jenkins,29
Peria Jerry,27
Antonio Johnson,28
Tank Johnson,24
Travis Johnson,25
Linval Joseph,29
William Joseph,26
Ethan Kelley,26
Jimmy Kennedy,26
Dan Klecko,26
Karl Klug,24
Terrance Knighton,28
Derek Landri,28
Trevor Laws,24
Bennie Logan,26
Rien Long,23
Star Lotulelei,29
Sen'Derrick Marks,24
Mike Martin,23
Ricardo Mathews,27
Terrell McClain,29
Gerald McCoy,25
Daniel McCullers,23
Clinton McDonald,26
Stacy McGee,25
Brandon Mebane,27
Roy Miller,26
Earl Mitchell,30
Fili Moala,25
Mike Montgomery,23
Kindal Moorehead,26
C.J. Mosley,30
Amobi Okoye,22
Stephen Paea,25
Mike Patterson,24
Domata Peko,28
Corey Peters,23
Darius Philon,23
Dontari Poe,24
Monsanto Pope,25
Sione Pouha,31
B.J. Raji,25
Jay Ratliff,28
Cory Redding,27
Sheldon Richardson,28
Dewayne Robertson,24
Ahtyba Rubin,25
Clifton Ryan,24
Darell Scott,24
Ian Scott,24
Danny Shelton,25
Kawann Short,27
Pat Sims,24
Ryan Sims,28
Le Kevin Smith,26
Paul Soliai,28
Isaac Sopoaga,31
Akeem Spence,26
Randy Starks,30
Shamar Stephen,28
Devon Still,24
Ndamukong Suh,26
Phil Taylor,24
Craig Terrill,26
Cam Thomas,26
Marcus Thomas,23
Brandon Thompson,25
Larry Tripplett,27
Tank Tyler,23
DeAngelo Tyson,24
Kevin Vickerson,30
Vance Walker,26
Gabe Watson,24
Vince Wilfork,27
Brandon Williams,26
Corey Williams,30
Dan Williams,26
Kevin Williams,27
Kyle Williams,30
