Player,Prime Age
Sam Acho,28
D.J. Alexander,25
James Allen,24
Kiko Alonso,27
Jon Alston,25
Charlie Anderson,26
James Anderson,27
Ryan Anderson,24
Pat Angerer,24
Stephone Anthony,24
Jeremiah Attaochu,22
Akeem Ayers,23
Akin Ayodele,25
Boss Bailey,27
Ben Banogu,24
Tully Banta-Cain,28
Antwan Barnes,26
Nick Barnett,25
Anthony Barr,24
Connor Barwin,27
Jon Beason,24
Kevin Bentley,25
Vince Biegel,25
Desmond Bishop,26
Quincy Black,26
Darryl Blackstock,24
H.B. Blades,25
Colby Bockwoldt,24
Rocky Boiman,27
Michael Boley,25
Jonathan Bostic,28
NaVorro Bowman,24
Nigel Bradham,28
Stewart Bradley,28
Andre Branch,24
Lance Briggs,25
Jasper Brinkley,28
Ahmad Brooks,28
Kentrell Brothers,24
Jatavis Brown,23
Jayon Brown,24
Preston Brown,23
Zach Brown,28
Deone Bucannon,24
Kevin Burnett,29
Donald Butler,24
Victor Butler,23
Tank Carder,24
Bobby Carpenter,27
Bruce Carter,25
Chris Carter,23
Jermaine Carter Jr.,25
Chris Chamberlain,25
Jamar Chaney,25
Brandon Chillar,24
Trent Cole,32
Jamie Collins,30
Kavell Conner,24
Dan Connor,26
Kamalei Correa,24
Channing Crowder,23
Tae Crowder,24
Angelo Crowell,25
Jermaine Cunningham,23
Aaron Curry,24
Brian Cushing,23
Karlos Dansby,31
Andra Davis,26
James Davis,25
Rod Davis,24
Thomas Davis,33
Akeem Dent,26
Zach Diles,24
Tim Dobbins,27
Justin Durant,26
Keith Ellison,23
Kyle Emanuel,26
Jordan Evans,23
Rashaan Evans,25
Kyler Fackrell,28
Moise Fokou,25
Larry Foote,25
Dee Ford,24
Mason Foster,23
Keyaron Fox,27
Scott Fujita,28
Andrew Gachkar,26
Omar Gaither,23
Gilbert Gardner,23
Ben Gedeon,24
Tony Gilbert,26
Chris Gocong,27
Najee Goode,29
Tavares Gooden,26
B.J. Goodson,26
Larry Grant,25
Roderick Green,23
Chad Greenway,28
Nick Greisen,26
Shaquem Griffin,24
Boomer Grigsby,25
Geneo Grissom,24
Quentin Groves,27
Bryce Hager,24
Mario Haggan,30
Tamba Hali,31
Shaun Dion Hamilton,24
Parys Haralson,26
David Harris,26
Napoleon Harris,28
A.J. Hawk,23
Geno Hayes,23
Gerald Hayes,27
Adam Hayward,27
E.J. Henderson,26
Will Herring,26
Dont'a Hightower,25
LeRoy Hill,24
Hunter Hillenmeyer,25
Anthony Hitchens,25
Victor Hobson,25
Gerald Hodges,24
Thomas Howard,24
Josh Hull,25
Clint Ingram,24
Melvin Ingram,26
Bruce Irvin,27
Nate Irving,25
Joel Iyiegbuniwe,24
Myles Jack,22
D'Qwell Jackson,30
Bradie James,27
Jelani Jenkins,23
Jordan Jenkins,24
Leon Joe,25
Brandon Johnson,26
Derrick Johnson,30
James-Michael Johnson,24
Jarret Johnson,28
Landon Johnson,25
Brad Jones,26
Cato June,27
Peter Kalambayi,24
Stanford Keglar,24
Bryan Kehl,25
Freddy Keiaho,26
Mychal Kendricks,24
Devon Kennard,27
Ryan Kerrigan,29
A.J. Klein,28
Niko Koutouvides,24
Paul Kruger,27
Luke Kuechly,23
Nick Kwiatkoski,26
James Laurinaitis,27
Manny Lawson,26
Ben Leber,29
Darron Lee,23
Elijah Lee,22
Sean Lee,30
DeAndre Levy,26
Alex Lewis,26
Curtis Lofton,24
Kaluka Maiava,25
Brandon Marshall,27
Blake Martinez,25
Casey Matthews,24
Clay Matthews,25
Rey Maualuga,25
Michael Mauti,24
Jerod Mayo,25
Joe Mays,25
Rolando McClain,22
Rocky McIntosh,26
Benardrick McKinney,25
Gerald McRath,24
Whitney Mercilus,25
Shawne Merriman,22
Barkevious Mingo,27
Kevin Minter,25
Koa Misi,24
Kawika Mitchell,27
Marvin Mitchell,28
Arthur Moats,26
Sio Moore,24
Derrick Morgan,28
Antonio Morrison,23
Kirk Morrison,24
Trent Murphy,25
Mike Neal,27
Corey Nelson,23
Stephen Nicholas,28
Mark Nzeocha,28
Dorian O'Daniel,25
Alec Ogletree,26
Brian Orakpo,24
Calvin Pace,28
Nate Palmer,27
Antwan Peek,25
Julius Peppers,35
Nick Perry,27
Shaun Phillips,28
Kevin Pierre-Louis,28
Jason Pierre-Paul,32
Derrick Pope,23
Brady Poppinga,28
Paul Posluszny,28
Hayes Pullard,24
Reggie Ragland,25
Saleem Rasheed,23
Brooks Reed,25
Perry Riley,25
Keith Rivers,27
Keenan Robinson,26
Nick Rogers,24
Barrett Ruud,25
Jake Ryan,24
DeMeco Ryans,24
Joe Schobert,25
O'Brien Schofield,25
Clint Session,24
Adam Seward,25
Scott Shanle,28
Tim Shaw,27
Ryan Shazier,24
Kelvin Sheppard,24
Brandon Siler,24
John Simon,26
Ernie Sims,23
Eugene Sims,27
Daryl Smith,32
Malcolm Smith,26
Marcus Smith,24
Telvin Smith,26
Sean Spence,25
Anthony Spencer,26
Brandon Spikes,26
Austin Spitler,25
Andy Studebaker,25
Nathan Stupar,27
Terrell Suggs,25
Stevenson Sylvester,23
Lofa Tatupu,24
Manti Te'o,23
Bryan Thomas,30
Dontarrious Thomas,25
J.T. Thomas,26
Robert Thomas,23
Chaun Thompson,25
David Thornton,29
Lawrence Timmons,25
Pisa Tinoisamoa,23
Korey Toomer,28
Reggie Torbor,25
Danny Trevathan,28
Jordan Tripp,24
Stephen Tulloch,26
Courtney Upshaw,25
Tanner Vallejo,24
Kyle Van Noy,28
Nick Vigil,25
Jonathan Vilma,27
David Vobora,23
Erik Walden,27
Joe Walker,26
DeMarcus Ware,26
Daryl Washington,26
Dekoda Watson,24
Sean Weatherspoon,24
Philip Wheeler,28
Chris White,24
Tahir Whitehead,27
Kyle Wilber,25
Matt Wilhelm,27
Gerris Wilkinson,24
D.J. Williams,23
Demorrio Williams,26
Jacquian Williams,25
Jamar Williams,24
Leon Williams,24
Vince Williams,29
Avery Williamson,25
Jordan Willis,23
Patrick Willis,23
Damien Wilson,27
Ramik Wilson,25
Kamerion Wimbley,24
Will Witherspoon,24
LaMarr Woodley,25
K.J. Wright,26
