Player,Prime Age
Dwayne Allen,25
Courtney Anderson,25
Chris Baker,27
Gary Barnidge,30
Martellus Bennett,26
Kevin Boss,25
Nick Boyle,25
Jordan Cameron,26
John Carlson,25
Brent Celek,25
Scott Chandler,28
Dallas Clark,29
Charles Clay,25
Jared Cook,31
Chris Cooley,24
Owen Daniels,26
Fred Davis,24
Vernon Davis,26
Seth Devalve,24
Ed Dickson,25
Joel Dreessen,28
Eric Ebron,24
Anthony Fasano,25
Coby Fleener,26
Bryan Fletcher,27
Michael Gaines,26
Daniel Graham,26
Virgil Green,29
Jermaine Gresham,23
Ryan Griffin,25
Rob Gronkowski,22
Clay Harbor,26
Aaron Hernandez,22
Jeff Heuerman,25
Rob Housler,24
O.J. Howard,24
Jesse James,23
Doug Jolley,24
Terry Jones,24
Dustin Keller,25
Lance Kendricks,27
Jeff King,25
Donald Lee,28
Vance McDonald,28
Randy McMichael,24
Heath Miller,26
Zach Miller,23
Brandon Myers,27
Nick O'Leary,26
Greg Olsen,29
Ben Patrick,24
Justin Peelle,28
Brandon Pettigrew,26
Leonard Pope,24
Jeb Putzier,26
Jordan Reed,25
Mychal Rivera,24
Richard Rodgers,23
Dante Rosario,24
Robert Royal,28
Kyle Rudolph,27
Bo Scaife,26
Tony Scheffler,24
Matt Schobel,25
Adam Shaheen,26
Visanthe Shiancoe,29
Jeremy Shockey,25
Dion Sims,24
Alex Smith,24
L.J. Smith,25
Craig Stevens,27
Jerramy Stevens,26
Jacob Tamme,26
David Thomas,26
Julius Thomas,26
Levine Toilolo,26
Ben Troupe,23
Clive Walford,25
Delanie Walker,32
Ben Watson,26
D.J. Williams,24
Maxx Williams,24
Luke Willson,24
Kellen Winslow,24
Jason Witten,26
