Player,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Robert Alford,,,,,,4.0,6.0,5.0,6.0,4.0,,,,,,,,
David Amerson,,,5.0,5.0,5.0,,,,,,,,,,,,,
Prince Amukamara,,,4.0,7.0,3.0,4.0,5.0,5.0,6.0,7.0,,,,,,,,
Nnamdi Asomugha,,,2.0,4.0,12.0,6.0,14.0,12.0,12.0,6.0,6.0,,,,,,,
Johnthan Banks,,,,4.0,5.0,2.0,,,,,,,,,,,,
Ron Bartell,,,2.0,,5.0,6.0,5.0,6.0,,,,,,,,,,
Bashaud Breeland,,6.0,6.0,5.0,5.0,,6.0,4.0,5.0,,,,,,,,,
Sheldon Brown,,,,,6.0,8.0,7.0,7.0,8.0,7.0,6.0,8.0,7.0,,,,,
Tarell Brown,,,,,,6.0,4.0,4.0,5.0,,,,,,,,,
Phillip Buchanon,,,8.0,5.0,2.0,,7.0,7.0,3.0,3.0,,,,,,,,
Brandon Carr,,5.0,6.0,7.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,7.0,5.0,,,,,
T.J. Carrie,,,,,4.0,,6.0,4.0,3.0,,,,,,,,,
Antoine Cason,,,,7.0,5.0,6.0,,5.0,,,,,,,,,,
Perrish Cox,,,3.0,,,,7.0,5.0,4.0,,,,,,,,,
Antonio Cromartie,,,16.0,6.0,7.0,6.0,7.0,11.0,9.0,9.0,6.0,,,,,,,
Travis Daniels,,,6.0,2.0,2.0,,,,,,,,,,,,,
Jason David,,4.0,7.0,6.0,5.0,4.0,,,,,,,,,,,,
Vontae Davis,4.0,5.0,6.0,4.0,6.0,11.0,10.0,5.0,,,,,,,,,,
Pierre Desir,,,,,2.0,,2.0,5.0,4.0,,,,,,,,,
Demarcus Faggins,,,,,,3.0,4.0,3.0,2.0,,,,,,,,,
Cortland Finnegan,,,6.0,20.0,5.0,6.0,8.0,7.0,,4.0,,,,,,,,
Travis Fisher,,,5.0,7.0,4.0,2.0,3.0,5.0,2.0,,,,,,,,,
Drayton Florence,,,,3.0,4.0,6.0,4.0,4.0,5.0,5.0,5.0,,,,,,,
Brandon Flowers,,4.0,7.0,7.0,7.0,6.0,7.0,6.0,4.0,,,,,,,,,
Kyle Fuller,,5.0,6.0,,7.0,16.0,10.0,6.0,4.0,,,,,,,,,
Chris Gamble,6.0,10.0,6.0,5.0,8.0,7.0,3.0,5.0,,,,,,,,,,
William Gay,,,,6.0,,8.0,7.0,5.0,5.0,7.0,4.0,,,,,,,
Andre' Goodman,,,,3.0,,,4.0,5.0,,7.0,7.0,2.0,7.0,,,,,
Eric Green,,,3.0,3.0,4.0,3.0,,,,,,,,,,,,
Cedric Griffin,,,,4.0,6.0,5.0,6.0,,3.0,,,,,,,,,
Joe Haden,5.0,7.0,5.0,12.0,11.0,,5.0,4.0,6.0,11.0,6.0,4.0,,,,,,
DeAngelo Hall,3.0,10.0,12.0,7.0,3.0,5.0,11.0,6.0,5.0,6.0,,,,,,,,
Leon Hall,,,4.0,8.0,15.0,7.0,5.0,7.0,,5.0,,,,,,,,
Kelvin Hayden,,,,8.0,5.0,3.0,4.0,,,,,,,,,,,
Casey Hayward,,,4.0,,,,12.0,13.0,5.0,6.0,4.0,5.0,,,,,,
