Player,AV,Age
Kenneth Acker,5,23
Robert Alford,4,26
Robert Alford,6,27
Robert Alford,5,28
Robert Alford,6,29
Robert Alford,4,30
Antonio Allen,3,26
Asher Allen,5,22
Asher Allen,2,23
Cortez Allen,4,25
Cortez Allen,3,26
Jason Allen,3,27
David Amerson,5,23
David Amerson,5,24
David Amerson,5,25
Prince Amukamara,4,23
Prince Amukamara,7,24
Prince Amukamara,3,25
Prince Amukamara,4,26
Prince Amukamara,5,27
Prince Amukamara,5,28
Prince Amukamara,6,29
Prince Amukamara,7,30
Javier Arenas,4,25
Damon Arnette,2,24
Nnamdi Asomugha,2,23
Nnamdi Asomugha,4,24
Nnamdi Asomugha,12,25
Nnamdi Asomugha,6,26
Nnamdi Asomugha,14,27
Nnamdi Asomugha,12,28
Nnamdi Asomugha,12,29
Nnamdi Asomugha,6,30
Nnamdi Asomugha,6,31
Blessuan Austin,3,24
Deandre Baker,5,22
Alan Ball,5,28
Johnthan Banks,4,24
Johnthan Banks,5,25
Johnthan Banks,2,26
Ron Bartell,2,23
Ron Bartell,5,25
Ron Bartell,6,26
Ron Bartell,5,27
Ron Bartell,6,28
Fred Bennett,3,24
Fred Bennett,3,25
Bene Benwikere,3,23
Bene Benwikere,3,27
E.J. Biggers,3,23
E.J. Biggers,4,25
Will Blackmon,3,29
Will Blackmon,5,31
Zackary Bowman,5,25
Zackary Bowman,3,29
Zackary Bowman,3,30
Bashaud Breeland,6,22
Bashaud Breeland,6,23
Bashaud Breeland,5,24
Bashaud Breeland,5,25
Bashaud Breeland,6,27
Bashaud Breeland,4,28
Bashaud Breeland,5,29
Sheldon Brown,6,25
Sheldon Brown,8,26
Sheldon Brown,7,27
Sheldon Brown,7,28
Sheldon Brown,8,29
Sheldon Brown,7,30
Sheldon Brown,6,31
Sheldon Brown,8,32
Sheldon Brown,7,33
Tarell Brown,6,26
Tarell Brown,4,27
Tarell Brown,4,28
Tarell Brown,5,29
Phillip Buchanon,8,23
Phillip Buchanon,5,24
Phillip Buchanon,2,25
Phillip Buchanon,7,27
Phillip Buchanon,7,28
Phillip Buchanon,3,29
Phillip Buchanon,3,30
Darius Butler,4,23
Darius Butler,5,27
Brandon Carr,5,22
Brandon Carr,6,23
Brandon Carr,7,24
Brandon Carr,6,25
Brandon Carr,6,26
Brandon Carr,5,27
Brandon Carr,6,28
Brandon Carr,6,29
Brandon Carr,6,30
Brandon Carr,6,31
Brandon Carr,7,32
Brandon Carr,5,33
T.J. Carrie,4,25
T.J. Carrie,6,27
T.J. Carrie,4,28
T.J. Carrie,3,29
Ahmad Carroll,5,21
Ahmad Carroll,7,22
Nolan Carroll,4,25
Nolan Carroll,5,26
Nolan Carroll,4,28
Nolan Carroll,5,29
Chris Cash,5,22
Chris Cash,2,24
Antoine Cason,7,24
Antoine Cason,5,25
Antoine Cason,6,26
Antoine Cason,5,28
Morris Claiborne,5,22
Morris Claiborne,2,23
Morris Claiborne,4,25
Morris Claiborne,6,27
Morris Claiborne,6,28
Ross Cockrell,7,25
Ross Cockrell,4,26
Ross Cockrell,4,28
Jalen Collins,2,23
Aaron Colvin,5,24
Gareon Conley,5,23
Gareon Conley,4,24
Chris Cook,3,25
Chris Cook,4,26
Marcus Cooper,2,24
Marcus Cooper,6,26
Reggie Corner,4,26
Derek Cox,6,23
Derek Cox,4,24
Derek Cox,5,26
Derek Cox,4,27
Perrish Cox,3,23
Perrish Cox,7,27
Perrish Cox,5,28
Perrish Cox,4,29
Antonio Cromartie,16,23
Antonio Cromartie,6,24
Antonio Cromartie,7,25
Antonio Cromartie,6,26
Antonio Cromartie,7,27
Antonio Cromartie,11,28
Antonio Cromartie,9,29
Antonio Cromartie,9,30
Antonio Cromartie,6,31
Chris Culliver,7,26
Travis Daniels,6,23
Travis Daniels,2,24
Travis Daniels,2,25
Jason David,4,22
Jason David,7,23
Jason David,6,24
Jason David,5,25
Jason David,4,26
Sammy Davis,5,23
Sammy Davis,4,24
Vontae Davis,4,21
Vontae Davis,5,22
Vontae Davis,6,23
Vontae Davis,4,24
Vontae Davis,6,25
Vontae Davis,11,26
Vontae Davis,10,27
Vontae Davis,5,28
Alfonzo Dennard,3,23
Alfonzo Dennard,4,24
Darqueze Dennard,2,29
Pierre Desir,2,25
Pierre Desir,2,27
Pierre Desir,5,28
Pierre Desir,4,29
Demarcus Faggins,3,26
Demarcus Faggins,4,27
Demarcus Faggins,3,28
Demarcus Faggins,2,29
Cortland Finnegan,6,23
Cortland Finnegan,20,24
Cortland Finnegan,5,25
Cortland Finnegan,6,26
Cortland Finnegan,8,27
Cortland Finnegan,7,28
Cortland Finnegan,4,30
Travis Fisher,5,23
Travis Fisher,7,24
Travis Fisher,4,25
Travis Fisher,2,26
Travis Fisher,3,27
Travis Fisher,5,28
Travis Fisher,2,29
Bradley Fletcher,8,24
Bradley Fletcher,6,27
Bradley Fletcher,6,28
Drayton Florence,3,24
Drayton Florence,4,25
Drayton Florence,6,26
Drayton Florence,4,27
Drayton Florence,4,28
Drayton Florence,5,29
Drayton Florence,5,30
Drayton Florence,5,31
Brandon Flowers,4,22
Brandon Flowers,7,23
Brandon Flowers,7,24
Brandon Flowers,7,25
Brandon Flowers,6,26
Brandon Flowers,7,27
Brandon Flowers,6,28
Brandon Flowers,4,29
Domonique Foxworth,4,22
Domonique Foxworth,4,25
Domonique Foxworth,7,26
Kyle Fuller,5,22
Kyle Fuller,6,23
Kyle Fuller,7,25
Kyle Fuller,16,26
Kyle Fuller,10,27
Kyle Fuller,6,28
Kyle Fuller,4,29
E.J. Gaines,6,22
E.J. Gaines,3,24
E.J. Gaines,4,25
Phillip Gaines,2,23
Phillip Gaines,2,25
Chris Gamble,6,21
Chris Gamble,10,22
Chris Gamble,6,23
Chris Gamble,5,24
Chris Gamble,8,25
Chris Gamble,7,26
Chris Gamble,3,27
Chris Gamble,5,28
William Gay,6,24
William Gay,8,26
William Gay,7,27
William Gay,5,28
William Gay,5,29
William Gay,7,30
William Gay,4,31
Jeff Gladney,5,24
Andre' Goodman,3,24
Andre' Goodman,4,27
Andre' Goodman,5,28
Andre' Goodman,7,30
Andre' Goodman,7,31
Andre' Goodman,2,32
Andre' Goodman,7,33
Corey Graham,5,23
Corey Graham,4,27
Corey Graham,4,29
Dwayne Gratz,3,23
Dwayne Gratz,5,24
Eric Green,3,23
Eric Green,3,24
Eric Green,4,25
Eric Green,3,26
Jonte Green,3,23
Cedric Griffin,4,24
Cedric Griffin,6,25
Cedric Griffin,5,26
Cedric Griffin,6,27
Cedric Griffin,3,29
DeJuan Groce,5,25
Joe Haden,5,21
Joe Haden,7,22
Joe Haden,5,23
Joe Haden,12,24
Joe Haden,11,25
Joe Haden,5,27
Joe Haden,4,28
Joe Haden,6,29
Joe Haden,11,30
Joe Haden,6,31
Joe Haden,4,32
Nate Hairston,3,24
Nate Hairston,3,25
DeAngelo Hall,3,21
DeAngelo Hall,10,22
DeAngelo Hall,12,23
DeAngelo Hall,7,24
DeAngelo Hall,3,25
DeAngelo Hall,5,26
DeAngelo Hall,11,27
DeAngelo Hall,6,28
DeAngelo Hall,5,29
DeAngelo Hall,6,30
Leon Hall,4,23
