Player,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Kenneth Acker,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Robert Alford,N/A,N/A,N/A,N/A,N/A,4,6,5,6,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Antonio Allen,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Asher Allen,N/A,5,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cortez Allen,N/A,N/A,N/A,N/A,4,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jason Allen,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David Amerson,N/A,N/A,5,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Prince Amukamara,N/A,N/A,4,7,3,4,5,5,6,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Javier Arenas,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Damon Arnette,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nnamdi Asomugha,N/A,N/A,2,4,12,6,14,12,12,6,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blessuan Austin,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Deandre Baker,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alan Ball,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Johnthan Banks,N/A,N/A,N/A,4,5,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ron Bartell,N/A,N/A,2,N/A,5,6,5,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fred Bennett,N/A,N/A,N/A,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bene Benwikere,N/A,N/A,3,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
E.J. Biggers,N/A,N/A,3,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Will Blackmon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Zackary Bowman,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
