Player,AV,Age,Pos
Victor Abiamiri,1,22,DE
Victor Abiamiri,3,23,LDE
Sam Acho,4,26,DE
Sam Acho,1,31,DE
Anthony Adams,2,28,DE
Gaines Adams,6,24,RDE
Gaines Adams,9,25,RDE
Gaines Adams,3,26,RDE
Victor Adeyanju,5,23,RDE
Victor Adeyanju,4,24,LDE
Victor Adeyanju,4,25,LDE
Victor Adeyanju,1,26,DE
C.J. Ah You,1,27,DE
C.J. Ah You,2,28,DE
C.J. Ah You,1,29,DE
Ikaika Alama-Francis,1,24,DE
Ikaika Alama-Francis,1,26,DE
Frank Alexander,3,23,DE
Frank Alexander,3,24,DE
Jared Allen,4,22,RDE
Jared Allen,8,23,RDE
Jared Allen,11,24,RDE
Jared Allen,17,25,RDE
Jared Allen,18,26,RDE
Jared Allen,17,27,RDE
Jared Allen,10,28,RDE
Jared Allen,14,29,RDE
Jared Allen,10,30,RDE
Jared Allen,6,31,RDE
Jared Allen,6,32,RDE
Jared Allen,6,33,RDE
Tyson Alualu,6,26,LDE
Tyson Alualu,5,29,RDE
Tyson Alualu,3,32,RDE
Tyson Alualu,2,35,DE
Jamaal Anderson,6,21,LDE
Jamaal Anderson,6,22,LDE
Jamaal Anderson,5,23,RDE
Jamaal Anderson,3,24,DE
Jamaal Anderson,2,25,DE
Mark Anderson,4,23,DE
Mark Anderson,7,24,RDE
Mark Anderson,2,25,DE
Mark Anderson,2,26,DE
Mark Anderson,3,27,DE
Mark Anderson,3,28,DE
Ezekiel Ansah,6,24,LDE
Ezekiel Ansah,9,25,LDE
Ezekiel Ansah,12,26,RDE
Ezekiel Ansah,5,27,RDE
Ezekiel Ansah,7,28,RDE
Ezekiel Ansah,2,30,DE
Baraka Atkins,1,23,DE
Baraka Atkins,1,24,DE
Cliff Avril,2,22,DE
Cliff Avril,4,23,RDE
Cliff Avril,6,24,LDE
Cliff Avril,9,25,LDE
Cliff Avril,7,26,LDE
Cliff Avril,3,27,DE
Cliff Avril,7,28,RDE
Cliff Avril,9,29,RDE
Cliff Avril,11,30,RDE
Robert Ayers,2,24,DE
Robert Ayers,6,26,LDE
Robert Ayers,2,27,DE
Robert Ayers,3,28,DE
Robert Ayers,2,29,DE
Robert Ayers,5,30,LDE
Robert Ayers,5,31,LDE
Robert Ayers,4,32,LDE
Jason Babin,2,26,DE
