Player,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Gaines Adams,,,,6.0,9.0,3.0,,,,,,,,,,,,
Victor Adeyanju,,,5.0,4.0,4.0,1.0,,,,,,,,,,,,
C.J. Ah You,,,,,,,1.0,2.0,1.0,,,,,,,,,
Jared Allen,,4.0,8.0,11.0,17.0,18.0,17.0,10.0,14.0,10.0,6.0,6.0,6.0,,,,,
Jamaal Anderson,6.0,6.0,5.0,3.0,2.0,,,,,,,,,,,,,
Mark Anderson,,,4.0,7.0,2.0,2.0,3.0,3.0,,,,,,,,,,
Ezekiel Ansah,,,,6.0,9.0,12.0,5.0,7.0,,2.0,,,,,,,,
Cliff Avril,,2.0,4.0,6.0,9.0,7.0,3.0,7.0,9.0,11.0,,,,,,,,
Robert Ayers,,,,2.0,,6.0,2.0,3.0,2.0,5.0,5.0,4.0,,,,,,
Jason Babin,,,,,,2.0,,2.0,1.0,10.0,13.0,6.0,,,,,,
Allen Bailey,,1.0,1.0,3.0,8.0,6.0,,6.0,7.0,3.0,3.0,,,,,,,
Dave Ball,,,,,1.0,,4.0,1.0,5.0,5.0,,,,,,,,
Tarell Basham,,,1.0,1.0,3.0,,4.0,,,,,,,,,,,
Da'Quan Bowers,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,
Andre Branch,,,,,,5.0,6.0,6.0,,,,,,,,,,
Tyler Brayton,,,,7.0,5.0,2.0,6.0,1.0,8.0,9.0,6.0,2.0,,,,,,
Raheem Brock,,,,3.0,7.0,6.0,8.0,,,7.0,5.0,2.0,2.0,,,,,
Michael Brockers,,,,,,,7.0,7.0,7.0,10.0,6.0,,,,,,,
Alex Brown,,,5.0,8.0,10.0,10.0,11.0,4.0,9.0,7.0,7.0,,,,,,,
Red Bryant,,,,,,,8.0,8.0,8.0,6.0,,,,,,,,
Chris Canty,,,3.0,6.0,7.0,7.0,2.0,,,,7.0,5.0,4.0,,,,,
Tank Carradine,,,,1.0,2.0,1.0,3.0,,,,,,,,,,,
Alex Carrington,,,1.0,3.0,1.0,,1.0,,,,,,,,,,,
Jurrell Casey,,,,,7.0,9.0,11.0,10.0,12.0,11.0,,,,,,,,
Luis Castillo,,7.0,5.0,5.0,7.0,6.0,7.0,,,,,,,,,,,
Anthony Chickillo,,,,,2.0,2.0,1.0,1.0,,,,,,,,,,
Will Clarke,,,,1.0,2.0,2.0,,,,,,,,,,,,
Adrian Clayborn,,,5.0,,7.0,,3.0,4.0,4.0,2.0,2.0,2.0,,,,,,
Trent Cole,,,4.0,8.0,13.0,10.0,12.0,7.0,7.0,6.0,,,,,,,,
Kenyon Coleman,,,,2.0,1.0,3.0,2.0,7.0,7.0,5.0,8.0,7.0,,,,,,
Tyrone Crawford,,,1.0,,,,7.0,7.0,7.0,,2.0,,,,,,,
Tim Crowder,,2.0,,3.0,5.0,1.0,,,,,,,,,,,,
Vinny Curry,,,,,2.0,2.0,1.0,2.0,8.0,3.0,3.0,3.0,,1.0,,,,
Mike Daniels,,,,,7.0,9.0,7.0,9.0,4.0,,,,,,,,,
Chauncey Davis,,4.0,6.0,2.0,3.0,3.0,3.0,,,,,,,,,,,
Ryan Denney,,,,,1.0,7.0,3.0,2.0,3.0,,6.0,2.0,,,,,,
Quinton Dial,,,,,6.0,4.0,2.0,,,,,,,,,,,
Darnell Dockett,,,,,,,,13.0,10.0,8.0,8.0,8.0,,,,,,
Glenn Dorsey,,,,7.0,9.0,6.0,,,,3.0,,,,,,,,
Elvis Dumervil,,2.0,7.0,4.0,,,,,3.0,11.0,,2.0,1.0,,,,,
Carlos Dunlap,2.0,2.0,5.0,10.0,9.0,13.0,11.0,8.0,6.0,8.0,,3.0,2.0,,,,,
Kony Ealy,,,1.0,5.0,4.0,3.0,,,,,,,,,,,,
Dwan Edwards,,,,,,6.0,,7.0,5.0,5.0,,,,,,,,
Kalimba Edwards,,,3.0,1.0,2.0,4.0,5.0,2.0,5.0,,,,,,,,,
Ray Edwards,2.0,6.0,8.0,8.0,7.0,8.0,3.0,,,,,,,,,,,
Jonathan Fanene,,,,,1.0,3.0,6.0,,3.0,,,,,,,,,
Terrence Fede,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,
Dwight Freeney,,6.0,11.0,12.0,14.0,5.0,4.0,9.0,12.0,9.0,8.0,,,,1.0,2.0,1.0,
Robert Geathers,2.0,6.0,3.0,7.0,6.0,8.0,7.0,6.0,8.0,,2.0,,,,,,,
Vernon Gholston,,1.0,3.0,2.0,,,,,,,,,,,,,,
Charles Grant,,,,5.0,8.0,8.0,7.0,9.0,6.0,4.0,7.0,,,,,,,
Jarvis Green,,,3.0,4.0,3.0,3.0,5.0,6.0,3.0,6.0,,,,,,,,
Everson Griffen,,,1.0,2.0,4.0,2.0,9.0,11.0,13.0,15.0,6.0,10.0,2.0,3.0,,,,
Tamba Hali,,,9.0,9.0,6.0,,,,,,,,3.0,,,,,
Carlos Hall,,,7.0,4.0,5.0,2.0,,,,,,,,,,,,
Greg Hardy,,2.0,5.0,6.0,15.0,,6.0,,,,,,,,,,,
Anthony Hargrove,1.0,5.0,2.0,1.0,,,1.0,2.0,,,,,,,,,,
Derrick Harvey,,4.0,7.0,3.0,,,,,,,,,,,,,,
Jason Hatcher,,,,1.0,2.0,1.0,2.0,1.0,5.0,7.0,,6.0,6.0,,,,,
William Hayes,,,1.0,5.0,2.0,2.0,3.0,3.0,6.0,7.0,7.0,1.0,,,,,,
Michael Haynes,,,2.0,5.0,1.0,,,,,,,,,,,,,
Akiem Hicks,,,1.0,9.0,5.0,3.0,7.0,10.0,13.0,,7.0,3.0,,,,,,
Evander Hood,,,6.0,8.0,9.0,5.0,,,,,,,,,,,,
Lamarr Houston,,,7.0,6.0,7.0,7.0,3.0,,,,,,,,,,,
Margus Hunt,,,,,,1.0,1.0,,1.0,3.0,8.0,,1.0,1.0,,,,
Melvin Ingram,,,2.0,,,,,13.0,11.0,10.0,,4.0,,,,,,
Matthew Ioannidis,,,5.0,5.0,7.0,,,,,,,,,,,,,
Lawrence Jackson,,,6.0,5.0,2.0,2.0,1.0,,,,,,,,,,,
Tyson Jackson,,,6.0,3.0,6.0,6.0,5.0,,,,,,,,,,,
Jarvis Jenkins,,,,5.0,3.0,6.0,7.0,,,,,,,,,,,
Charles Johnson,,2.0,3.0,8.0,5.0,8.0,8.0,8.0,4.0,6.0,4.0,,,,,,,
Jarret Johnson,,2.0,3.0,6.0,3.0,,,,,,,,,,,,,
Michael Johnson,,2.0,6.0,4.0,9.0,10.0,5.0,8.0,8.0,7.0,6.0,,,,,,,
Datone Jones,,,2.0,3.0,2.0,3.0,,,,,,,,,,,,
Aaron Kampman,,,3.0,5.0,7.0,9.0,13.0,13.0,7.0,,3.0,,,,,,,
Brett Keisel,,,,,,1.0,2.0,9.0,7.0,6.0,8.0,10.0,9.0,9.0,6.0,3.0,,
Kingsley Keke,,,1.0,5.0,3.0,,,,,,,,,,,,,
Chris Kelsay,,,,2.0,6.0,6.0,8.0,7.0,7.0,8.0,,,2.0,,,,,
Paul Kruger,,,1.0,1.0,2.0,,,,,5.0,,,,,,,,
Travis LaBoy,,,2.0,4.0,4.0,2.0,5.0,,2.0,,,,,,,,,
Kendall Langford,,6.0,5.0,8.0,6.0,,,3.0,7.0,,,,,,,,,
Corey Lemonier,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
Corey Liuget,5.0,8.0,7.0,8.0,5.0,7.0,,,,,,,,,,,,
Chris Long,,,6.0,3.0,9.0,7.0,8.0,8.0,,3.0,6.0,3.0,2.0,,,,,
Aaron Lynch,3.0,,,,3.0,1.0,1.0,,,,,,,,,,,
Cassius Marsh,,,2.0,3.0,3.0,3.0,2.0,1.0,,,,,,,,,,
Kareem Martin,,2.0,2.0,1.0,,,,,,,,,,,,,,
Jonathan Massaquoi,,,,1.0,3.0,2.0,,,,,,,,,,,,
Robert Mathis,,2.0,3.0,3.0,7.0,6.0,7.0,7.0,10.0,7.0,,,,,,,,
Aaron Maybin,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,
Bobby McCray,,,5.0,3.0,8.0,4.0,5.0,1.0,,,,,,,,,,
Ray McDonald,,,1.0,4.0,3.0,2.0,9.0,7.0,7.0,7.0,,,,,,,,
Takkarist McKinley,,2.0,4.0,6.0,,2.0,,,,,,,,,,,,
Pernell McPhee,,,3.0,4.0,2.0,2.0,,1.0,3.0,1.0,,,1.0,,,,,
Jeremy Mincey,,,,,,,3.0,10.0,7.0,1.0,7.0,3.0,,,,,,
Damontre Moore,1.0,2.0,1.0,,,,,1.0,,,,,,,,,,
Derrick Morgan,,5.0,6.0,7.0,,,,,,,,,,,,,,
Quentin Moses,,,,,1.0,1.0,2.0,,,,,,,,,,,
Trent Murphy,,,,,,,,6.0,12.0,5.0,,,,,,,,
Carl Nassib,,,2.0,5.0,5.0,,3.0,1.0,,,,,,,,,,
Haloti Ngata,,,7.0,,12.0,17.0,19.0,13.0,,6.0,,,,,,,,
Rob Ninkovich,,,,,2.0,,,9.0,9.0,10.0,9.0,,,,,,,
Alex Okafor,,,,,2.0,5.0,7.0,4.0,1.0,1.0,,,,,,,,
Igor Olshansky,,7.0,5.0,6.0,8.0,6.0,7.0,5.0,,,,,,,,,,
Julius Peppers,,8.0,9.0,15.0,13.0,18.0,7.0,13.0,15.0,18.0,12.0,17.0,6.0,,,,4.0,4.0
Jason Pierre-Paul,3.0,14.0,10.0,4.0,9.0,3.0,7.0,7.0,8.0,,,,,,,,,
Robert Quinn,2.0,7.0,16.0,12.0,4.0,4.0,,6.0,8.0,,,,,,,,,
Cory Redding,,,1.0,7.0,7.0,7.0,,,3.0,7.0,7.0,6.0,7.0,7.0,2.0,,,
Brooks Reed,,,,,,,,,4.0,6.0,3.0,,,,,,,
Kendall Reyes,,,,7.0,6.0,7.0,,,,,,,,,,,,
Jay Richardson,,,5.0,5.0,1.0,,,,,,,,,,,,,
Brian Robison,,,,4.0,2.0,2.0,3.0,6.0,7.0,7.0,7.0,8.0,8.0,2.0,,,,
Matt Roth,,,2.0,3.0,4.0,,,,5.0,,,,,,,,,
Frostee Rucker,,,,,3.0,2.0,2.0,6.0,7.0,2.0,5.0,6.0,2.0,7.0,5.0,,,
Darrion Scott,,,1.0,7.0,7.0,,,,,,,,,,,,,
Trevor Scott,,,,2.0,,4.0,1.0,2.0,,,,,,,,,,
George Selvie,,,2.0,1.0,1.0,6.0,6.0,2.0,,,,,,,,,,
Jabaal Sheard,,9.0,8.0,,,3.0,6.0,,9.0,5.0,2.0,,,,,,,
John Simon,,,,1.0,,,,2.0,11.0,9.0,,,,,,,,
Antonio Smith,,,,4.0,4.0,7.0,5.0,8.0,6.0,11.0,8.0,7.0,,2.0,1.0,,,
Chris Smith,,,,,2.0,2.0,1.0,1.0,,,,,,,,,,
Will Smith,,,4.0,6.0,11.0,8.0,7.0,8.0,7.0,,6.0,,,,,,,
Marcus Spears,,6.0,6.0,6.0,7.0,7.0,3.0,3.0,3.0,,,,,,,,,
Randy Starks,,,,,,7.0,10.0,9.0,,,,,,,,,,
Ndamukong Suh,,,,,,,,,,,,9.0,8.0,8.0,,,,
Darryl Tapp,,3.0,9.0,6.0,4.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,,,,,,
Devin Taylor,,,,2.0,2.0,2.0,7.0,,,,,,,,,,,
Bryan Thomas,,,1.0,5.0,5.0,3.0,8.0,,,,,,,,,,,
Dave Tollefson,,,,,,2.0,1.0,1.0,2.0,1.0,,,,,,,,
Justin Tuck,,2.0,,4.0,19.0,6.0,15.0,5.0,6.0,9.0,6.0,,,,,,,
Stephon Tuitt,3.0,8.0,7.0,6.0,7.0,,9.0,,,,,,,,,,,
Osi Umenyiora,,2.0,6.0,17.0,5.0,12.0,,5.0,13.0,3.0,3.0,6.0,2.0,,,,,
Olivier Vernon,,,8.0,6.0,7.0,14.0,5.0,,5.0,6.0,,,,,,,,
Erik Walden,,,1.0,1.0,2.0,,,,6.0,6.0,,2.0,,,,,,
Ty Warren,,,8.0,7.0,11.0,8.0,7.0,7.0,,,,,,,,,,
J.J. Watt,,10.0,19.0,17.0,23.0,21.0,,,17.0,4.0,7.0,,6.0,,,,,
Anthony Weaver,,7.0,9.0,9.0,5.0,6.0,5.0,6.0,,,,,,,,,,
Dewayne White,,,,2.0,4.0,4.0,5.0,6.0,4.0,2.0,,,,,,,,
Stylez G. White,,,,,,,,3.0,3.0,4.0,6.0,,,,,,,
Jimmy Wilkerson,,1.0,1.0,2.0,2.0,2.0,3.0,6.0,2.0,,,,,,,,,
Muhammad Wilkerson,,8.0,9.0,13.0,6.0,16.0,7.0,6.0,,,,,,,,,,
