Player,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Victor Abiamiri,N/A,1,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sam Acho,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anthony Adams,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gaines Adams,N/A,N/A,N/A,6,9,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Victor Adeyanju,N/A,N/A,5,4,4,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C.J. Ah You,N/A,N/A,N/A,N/A,N/A,N/A,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ikaika Alama-Francis,N/A,N/A,N/A,1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Frank Alexander,N/A,N/A,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jared Allen,N/A,4,8,11,17,18,17,10,14,10,6,6,6,N/A,N/A,N/A,N/A,N/A
Tyson Alualu,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,5,N/A,N/A,3,N/A,N/A,2,N/A,N/A,N/A
Jamaal Anderson,6,6,5,3,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mark Anderson,N/A,N/A,4,7,2,2,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ezekiel Ansah,N/A,N/A,N/A,6,9,12,5,7,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Baraka Atkins,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
