Player,AV,Age,Pos,-9999
Anthony Adams,2,23,DT,AdamAn20
Anthony Adams,5,24,LDT,AdamAn20
Anthony Adams,6,25,NT,AdamAn20
Anthony Adams,2,26,LDT,AdamAn20
Anthony Adams,5,27,LDT,AdamAn20
Anthony Adams,5,29,RDT,AdamAn20
Anthony Adams,8,30,RDT,AdamAn20
Anthony Adams,3,31,DT,AdamAn20
Beau Allen,1,23,DT,AlleBe00
Beau Allen,2,24,DT,AlleBe00
Beau Allen,3,25,DT,AlleBe00
Beau Allen,3,26,DT,AlleBe00
Beau Allen,4,27,RDT,AlleBe00
Beau Allen,1,28,DT,AlleBe00
Tyson Alualu,5,23,LDT,AluaTy99
Tyson Alualu,8,24,LDT,AluaTy99
Tyson Alualu,7,25,LDT,AluaTy99
Tyson Alualu,1,27,DT,AluaTy99
Tyson Alualu,6,28,LDT,AluaTy99
Tyson Alualu,4,30,DT,AluaTy99
Tyson Alualu,2,31,DT,AluaTy99
Tyson Alualu,6,33,NT,AluaTy99
Tim Anderson,4,25,RDT,AndeTi20
Tim Anderson,3,26,RDT,AndeTi20
Geno Atkins,2,22,DT,AtkiGe99
Geno Atkins,14,23,RDT,AtkiGe99
Geno Atkins,18,24,RDT,AtkiGe99
Geno Atkins,5,25,RDT,AtkiGe99
Geno Atkins,10,26,RDT,AtkiGe99
Geno Atkins,18,27,RDT,AtkiGe99
Geno Atkins,11,28,RDT,AtkiGe99
Geno Atkins,10,29,RDT,AtkiGe99
Geno Atkins,8,30,RDT,AtkiGe99
Geno Atkins,9,31,DT,AtkiGe99
Geno Atkins,1,32,DT,AtkiGe99
Marvin Austin,1,23,DT,AustMa00
Marvin Austin,1,25,DT,AustMa00
Jason Babin,2,25,DT,BabiJa20
Jonathan Babineaux,2,25,DT,BabiJo20
Jonathan Babineaux,5,26,RDT,BabiJo20
Jonathan Babineaux,7,27,LDT,BabiJo20
Jonathan Babineaux,8,28,LDT,BabiJo20
Jonathan Babineaux,8,29,LDT,BabiJo20
Jonathan Babineaux,6,30,LDT,BabiJo20
Jonathan Babineaux,8,31,RDT,BabiJo20
Jonathan Babineaux,6,32,RDT,BabiJo20
Jonathan Babineaux,3,34,DT,BabiJo20
Jonathan Babineaux,3,35,NT,BabiJo20
Christian Ballard,1,22,DT,BallCh00
Christian Ballard,2,23,DT,BallCh00
Kentwan Balmer,1,22,DT,BalmKe99
Kentwan Balmer,1,23,DT,BalmKe99
Justin Bannan,2,23,DT,BannJu20
Justin Bannan,2,24,DT,BannJu20
Justin Bannan,1,25,DT,BannJu20
Justin Bannan,3,26,LDT,BannJu20
Justin Bannan,2,27,DT,BannJu20
Justin Bannan,2,28,DT,BannJu20
Justin Bannan,9,29,LDE/NT,BannJu20
Justin Bannan,3,30,DT,BannJu20
Justin Bannan,6,32,RDT,BannJu20
Michael Bennett,1,22,DT,BennMi01
Rocky Bernard,3,23,DT,BernRo20
Rocky Bernard,1,24,DT,BernRo20
Rocky Bernard,2,25,DT,BernRo20
Rocky Bernard,6,26,RDT,BernRo20
Rocky Bernard,7,27,RDT,BernRo20
Rocky Bernard,7,28,RDT,BernRo20
Rocky Bernard,7,29,RDT,BernRo20
Rocky Bernard,1,30,DT,BernRo20
Rocky Bernard,2,31,DT,BernRo20
Rocky Bernard,2,32,DT,BernRo20
Rocky Bernard,3,33,RDT,BernRo20
Ryon Bingham,1,25,DT,BingRy20
Ryon Bingham,3,26,DT,BingRy20
Ryon Bingham,2,27,DT,BingRy20
Ron Brace,2,23,DT,BracRo99
Ron Brace,1,26,DT,BracRo99
Alan Branch,1,23,DT,BranAl99
Alan Branch,2,25,DT,BranAl99
Alan Branch,3,26,DT,BranAl99
Alan Branch,7,27,LDT,BranAl99
Alan Branch,8,28,LDT,BranAl99
Alan Branch,2,30,DT,BranAl99
Alan Branch,7,31,LDT,BranAl99
Alan Branch,9,32,LDT,BranAl99
Alan Branch,4,33,LDT,BranAl99
Andre Branch,6,28,LDE/NT,BranAn00
Caleb Brantley,2,23,DT,BranCa00
Josh Brent,1,22,DT,BrenJo00
Josh Brent,1,23,DT,BrenJo00
