Player,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Anthony Adams,,,,2.0,5.0,6.0,2.0,5.0,,5.0,8.0,3.0,,,,
Beau Allen,,,,1.0,2.0,3.0,3.0,4.0,1.0,,,,,,,
Tyson Alualu,,,,5.0,8.0,7.0,,1.0,6.0,,4.0,2.0,,6.0,,
Geno Atkins,,,2.0,14.0,18.0,5.0,10.0,18.0,11.0,10.0,8.0,9.0,1.0,,,
Jonathan Babineaux,,,,,,2.0,5.0,7.0,8.0,8.0,6.0,8.0,6.0,,3.0,3.0
Justin Bannan,,,,2.0,2.0,1.0,3.0,2.0,2.0,9.0,3.0,,6.0,,,
Rocky Bernard,,,,3.0,1.0,2.0,6.0,7.0,7.0,7.0,1.0,2.0,2.0,3.0,,
Ryon Bingham,,,,,,1.0,3.0,2.0,,,,,,,,
Alan Branch,,,,1.0,,2.0,3.0,7.0,8.0,,2.0,7.0,9.0,4.0,,
Josh Brent,,,1.0,1.0,3.0,,,,,,,,,,,
Michael Brockers,,,5.0,7.0,8.0,8.0,6.0,7.0,,,,,,,,
Jay Bromley,,,1.0,2.0,1.0,1.0,,,,,,,,,,
Malcom Brown,,7.0,8.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,
Brodrick Bunkley,,,,1.0,8.0,9.0,6.0,3.0,6.0,5.0,5.0,4.0,,,,
Chris Canty,,,,,,,,,7.0,6.0,4.0,,,,,
Jurrell Casey,,,8.0,6.0,12.0,,,,,12.0,,,,,,
Shaun Cody,,,2.0,,1.0,2.0,6.0,5.0,8.0,5.0,,,,,,
Terrence Cody,,,1.0,8.0,3.0,2.0,,,,,,,,,,
Barry Cofield,,,6.0,7.0,8.0,5.0,8.0,7.0,6.0,6.0,2.0,,,,,
Xavier Cooper,,,,,1.0,2.0,1.0,,,,,,,,,
Christian Covington,,,2.0,,,2.0,4.0,7.0,2.0,,,,,,,
Tyrone Crawford,,,,,,6.0,7.0,7.0,,,,,,,,
Mike Daniels,,,,2.0,2.0,,,,,,1.0,5.0,,,,
Marcell Dareus,,6.0,6.0,10.0,18.0,8.0,3.0,3.0,8.0,,,,,,,
Tyeler Davison,,,,2.0,5.0,7.0,4.0,6.0,7.0,4.0,,,,,,
Brandon Deaderick,,,,2.0,,3.0,1.0,1.0,,,,,,,,
Darnell Dockett,,,,9.0,7.0,6.0,10.0,7.0,,,,,,,,
Glenn Dorsey,,,,6.0,,,,,7.0,,,3.0,,,,
Dominique Easley,,,2.0,2.0,2.0,,,,,,,,,,,
Nick Eason,,,,,,1.0,2.0,2.0,2.0,,,3.0,2.0,,,
Dwan Edwards,,,,,2.0,1.0,,,,,,6.0,3.0,2.0,1.0,
Justin Ellis,,,,,6.0,4.0,3.0,6.0,,,2.0,3.0,,,,
Kenrick Ellis,,,,,,3.0,3.0,2.0,1.0,,,,,,,
Sedrick Ellis,,,,6.0,5.0,7.0,,5.0,,,,,,,,
Fred Evans,,,,,1.0,2.0,1.0,1.0,1.0,2.0,2.0,,,,,
Nick Fairley,,,,1.0,4.0,8.0,4.0,2.0,6.0,,,,,,,
Ronald Fields,,,,,,3.0,2.0,1.0,7.0,1.0,,,,,,
Sharrif Floyd,,1.0,6.0,6.0,,,,,,,,,,,,
Andre Fluellen,,,,1.0,2.0,1.0,1.0,,1.0,1.0,,,,,,
Aubrayo Franklin,,,,,,2.0,2.0,6.0,7.0,9.0,8.0,4.0,4.0,6.0,,
Sione Fua,,,,3.0,1.0,,1.0,,,,,,,,,
Kedric Golston,,,,5.0,2.0,7.0,3.0,,1.0,1.0,,1.0,1.0,,,
Howard Green,,,,,,5.0,,,,1.0,2.0,2.0,,,,
Letroy Guion,,,,2.0,2.0,6.0,5.0,7.0,3.0,6.0,,,,,,
Rodney Gunter,,,,5.0,2.0,2.0,5.0,,,,,,,,,
