Player,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Derek Anderson,,,,14.0,2.0,-4.0,4.0,,,,,,,,,,,,
Kyle Boller,,3.0,6.0,3.0,,4.0,,,,,,,,,,,,,
Blake Bortles,,5.0,14.0,10.0,13.0,6.0,,,,,,,,,,,,,
Sam Bradford,,,9.0,3.0,10.0,,,8.0,11.0,,,,,,,,,,
David Carr,,,5.0,7.0,13.0,11.0,10.0,,,,,,,,,,,,
Matt Cassel,,,,,,17.0,7.0,13.0,3.0,2.0,6.0,,0.0,,,,,,
Jay Cutler,,,,12.0,15.0,10.0,12.0,7.0,11.0,9.0,11.0,11.0,,6.0,,,,,
Trent Edwards,,,,3.0,9.0,3.0,,,,,,,,,,,,,
Ryan Fitzpatrick,,,,,,3.0,3.0,9.0,11.0,11.0,9.0,8.0,13.0,5.0,,7.0,10.0,7.0,
Josh Freeman,2.0,13.0,8.0,13.0,,,,,,,,,,,,,,,
David Garrard,,,,,,,,9.0,13.0,13.0,13.0,13.0,,,,,,,
Robert Griffin III,,18.0,9.0,5.0,,,,,,,,,,,,,,,
Joey Harrington,,,,4.0,6.0,10.0,5.0,3.0,6.0,,,,,,,,,,
Tarvaris Jackson,,,,7.0,4.0,1.0,,9.0,,,,,,,,,,,
Colin Kaepernick,,,,,9.0,15.0,12.0,4.0,9.0,,,,,,,,,,
Byron Leftwich,,,9.0,9.0,9.0,,,,,,,,,,,,,,
J.P. Losman,,,,4.0,10.0,4.0,,,,,,,,,,,,,
Andrew Luck,,,13.0,15.0,16.0,,16.0,,16.0,,,,,,,,,,
Eli Manning,,,-1.0,15.0,12.0,10.0,12.0,13.0,12.0,15.0,16.0,7.0,13.0,14.0,9.0,7.0,12.0,,
Josh McCown,,,,3.0,7.0,5.0,,1.0,,,,,,8.0,4.0,5.0,,9.0,
Luke McCown,,,,,,,,,,,,0.0,0.0,1.0,,,,,
Cam Newton,,19.0,16.0,16.0,12.0,21.0,11.0,15.0,14.0,,12.0,3.0,,,,,,,
Kyle Orton,,,2.0,,,9.0,10.0,11.0,2.0,,,8.0,,,,,,,
Carson Palmer,,,,,8.0,16.0,14.0,14.0,,10.0,11.0,8.0,10.0,11.0,,16.0,12.0,,
Christian Ponder,,,5.0,11.0,6.0,,,,,,,,,,,,,,
Patrick Ramsey,,,4.0,7.0,2.0,,,,,,,,,,,,,,
Philip Rivers,,,,,18.0,13.0,17.0,19.0,17.0,17.0,10.0,16.0,13.0,12.0,13.0,13.0,14.0,13.0,13.0
Ben Roethlisberger,,12.0,11.0,11.0,14.0,11.0,14.0,12.0,12.0,10.0,13.0,16.0,12.0,12.0,14.0,14.0,,10.0,9.0
Mark Sanchez,,,6.0,9.0,8.0,5.0,,6.0,,,,,,,,,,,
Matt Schaub,,,,2.0,1.0,8.0,10.0,15.0,17.0,8.0,11.0,3.0,0.0,,,,,,
Alex Smith,-3.0,10.0,,,7.0,6.0,13.0,7.0,14.0,14.0,16.0,12.0,17.0,6.0,,1.0,,,
Tim Tebow,,,3.0,8.0,1.0,,,,,,,,,,,,,,
Seneca Wallace,,,,,,3.0,1.0,5.0,2.0,2.0,,,,,,,,,
Joe Webb,,,,,2.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,
