Player,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
Eugene Amano,,,,,,3.0,7.0,7.0,,,,,,,,,
Shawn Andrews,,,,6.0,16.0,9.0,,,,,,,,,,,
Jon Asamoah,,,1.0,5.0,4.0,5.0,8.0,,,,,,,,,,
David Baas,,,,,2.0,1.0,3.0,5.0,7.0,,,,,,,,
Zane Beadles,,,,,7.0,6.0,11.0,11.0,6.0,8.0,7.0,,3.0,,,,
Jacob Bell,,,,7.0,1.0,6.0,7.0,4.0,3.0,6.0,3.0,,,,,,
Mackenzy Bernadeau,,,,4.0,4.0,2.0,8.0,6.0,2.0,1.0,,,,,,,
Martin Bibla,,,,1.0,1.0,1.0,,,,,,,,,,,
Justin Blalock,,,,,5.0,8.0,9.0,8.0,9.0,10.0,8.0,8.0,,,,,
Clint Boling,,,,8.0,7.0,8.0,9.0,6.0,6.0,8.0,,,,,,,
Brandon Brooks,,,,,6.0,7.0,6.0,7.0,11.0,10.0,10.0,,,,,,
Jamon Brown,,,3.0,,8.0,4.0,5.0,,,,,,,,,,
Milford Brown,,,,,,5.0,6.0,5.0,,,,,,,,,
A.J. Cann,,,,,7.0,7.0,8.0,5.0,7.0,5.0,,,,,,,
James Carpenter,,,,,6.0,8.0,8.0,6.0,7.0,4.0,6.0,7.0,,,,,
Chris Chester,,,,2.0,3.0,5.0,7.0,7.0,7.0,10.0,7.0,7.0,7.0,11.0,,,
Daryn Colledge,,,,,6.0,8.0,9.0,11.0,9.0,7.0,5.0,7.0,7.0,,,,
Willie Colon,,,,,,,,,,5.0,5.0,7.0,,,,,
Joe Dahl,,,,,,1.0,6.0,2.0,,,,,,,,,
David DeCastro,,,,7.0,8.0,15.0,12.0,14.0,9.0,8.0,7.0,,,,,,
Derrick Dockery,,,,6.0,5.0,8.0,8.0,6.0,7.0,7.0,,2.0,2.0,,,,
Vlad Ducasse,,,,,1.0,1.0,2.0,3.0,6.0,3.0,5.0,3.0,,,,,
Laurent Duvernay-Tardif,,,,,7.0,5.0,6.0,,8.0,,2.0,,,,,,
Jahri Evans,,,,8.0,9.0,11.0,18.0,15.0,20.0,16.0,12.0,12.0,7.0,10.0,7.0,,
Ereck Flowers,,,,,,6.0,6.0,7.0,,,,,,,,,
Orlando Franklin,,,,,,,,9.0,5.0,8.0,,,,,,,
Zach Fulton,,,,8.0,4.0,5.0,,6.0,8.0,7.0,,,,,,,
Brandon Fusco,,,,,7.0,7.0,,7.0,6.0,8.0,,,,,,,
Dylan Gandy,,,,3.0,8.0,2.0,,3.0,1.0,2.0,1.0,1.0,,,,,
Jonathan Goodwin,,,,,1.0,1.0,2.0,4.0,1.0,2.0,,,,,,,
John Greco,,,,,,,,5.0,5.0,6.0,6.0,5.0,,,,,
Tyronne Green,,,,,5.0,5.0,6.0,,,,,,,,,,
Ben Grubbs,,,,5.0,7.0,8.0,8.0,6.0,9.0,11.0,9.0,,,,,,
Andre Gurode,,,,,4.0,6.0,6.0,2.0,,,,,,3.0,,,
Rex Hadnot,,,3.0,7.0,,7.0,5.0,2.0,1.0,7.0,2.0,,,,,,
Leroy Harris,,,,,,,7.0,7.0,3.0,,,,,,,,
Eric Heitmann,,,6.0,5.0,5.0,5.0,,,,,,,,,,,
Todd Herremans,,,,,9.0,7.0,8.0,5.0,8.0,,,7.0,4.0,,,,
Montrae Holland,,,,4.0,6.0,4.0,1.0,9.0,,,2.0,6.0,,,,,
Richie Incognito,,,,,,5.0,3.0,6.0,7.0,9.0,3.0,,10.0,11.0,9.0,,5.0
Mike Iupati,,,,7.0,8.0,15.0,8.0,9.0,12.0,7.0,,3.0,7.0,5.0,,,
Gabe Jackson,,,,4.0,7.0,7.0,7.0,5.0,5.0,8.0,7.0,7.0,,,,,
Max Jean-Gilles,,,,,,5.0,3.0,6.0,,,,,,,,,
John Jerry,,,,,4.0,2.0,7.0,7.0,8.0,5.0,6.0,6.0,,,,,
Charlie Johnson,,,,,10.0,,,,7.0,7.0,6.0,,,,,,
Davin Joseph,,,,4.0,8.0,7.0,5.0,6.0,8.0,,6.0,6.0,,,,,
Senio Kelemete,,,,,1.0,4.0,6.0,5.0,6.0,,3.0,2.0,,,,,
Chris Kemoeatu,,,,,1.0,8.0,7.0,8.0,4.0,,,,,,,,
Kyle Kosier,,,,,,7.0,5.0,5.0,10.0,8.0,,8.0,6.0,9.0,,,
Chris Kuper,,,,,,6.0,9.0,7.0,7.0,6.0,,,,,,,
T.J. Lang,,,,,12.0,9.0,9.0,9.0,7.0,11.0,8.0,,,,,,
Ted Larsen,,,,6.0,,7.0,,7.0,6.0,4.0,3.0,5.0,,,,,
Shawn Lauvao,,,,1.0,6.0,7.0,4.0,7.0,,8.0,4.0,,,,,,
Andy Levitre,,,,6.0,6.0,8.0,7.0,8.0,6.0,7.0,11.0,7.0,,,,,
Alex Lewis,,,,,3.0,,5.0,4.0,3.0,,,,,,,,
Kyle Long,,,,,,11.0,11.0,,3.0,3.0,4.0,,,,,,
Deuce Lutui,,,,5.0,7.0,9.0,8.0,5.0,1.0,3.0,,,,,,,
Logan Mankins,,,,9.0,10.0,17.0,10.0,16.0,12.0,15.0,11.0,14.0,6.0,9.0,,,
Vince Manuwai,,,,7.0,7.0,9.0,10.0,10.0,,8.0,6.0,,,,,,
Ali Marpet,,,6.0,7.0,,8.0,8.0,7.0,9.0,,,,,,,,
Evan Mathis,,,,,1.0,6.0,,1.0,3.0,1.0,7.0,7.0,14.0,6.0,5.0,,
Mike McGlynn,,,,,,,,7.0,8.0,6.0,1.0,,,,,,
Paul McQuistan,,,,2.0,,,,,4.0,8.0,8.0,,,,,,
Terrence Metcalf,,,,,,1.0,2.0,4.0,1.0,3.0,,,,,,,
Jack Mewhort,,,,8.0,7.0,6.0,,,,,,,,,,,
