Player,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
Oday Aboushi,N/A,N/A,N/A,5,N/A,N/A,4,2,N/A,4,N/A,3,N/A,N/A,N/A,N/A,N/A
Hakeem Adeniji,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vadal Alexander,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Andy Alleman,N/A,N/A,N/A,N/A,N/A,3,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jeff Allen,N/A,N/A,4,7,N/A,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eugene Amano,N/A,N/A,N/A,N/A,N/A,3,7,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Shawn Andrews,N/A,N/A,N/A,6,16,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stacy Andrews,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jon Asamoah,N/A,N/A,1,5,4,5,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David Baas,N/A,N/A,N/A,N/A,2,1,3,5,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Allen Barbre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,6,N/A,N/A,N/A,N/A
Khalif Barnes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,4,N/A,N/A,N/A,N/A
Zane Beadles,N/A,N/A,N/A,N/A,7,6,11,11,6,8,7,N/A,3,N/A,N/A,N/A,N/A
Josh Beekman,N/A,N/A,N/A,N/A,N/A,7,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jacob Bell,N/A,N/A,N/A,7,1,6,7,4,3,6,3,N/A,N/A,N/A,N/A,N/A,N/A
Caleb Benenoch,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LeCharles Bentley,N/A,N/A,N/A,7,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joe Berger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,4,N/A,N/A,9,N/A
Tony Bergstrom,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A
Mackenzy Bernadeau,N/A,N/A,N/A,4,4,2,8,6,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Martin Bibla,N/A,N/A,N/A,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Justin Blalock,N/A,N/A,N/A,N/A,5,8,9,8,9,10,8,8,N/A,N/A,N/A,N/A,N/A
Austin Blythe,N/A,N/A,N/A,N/A,N/A,N/A,11,8,N/A,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A
Evan Boehm,N/A,N/A,N/A,N/A,4,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Clint Boling,N/A,N/A,N/A,8,7,8,9,6,6,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kevin Boothe,N/A,N/A,N/A,3,N/A,N/A,N/A,3,N/A,9,6,N/A,N/A,N/A,N/A,N/A,N/A
James Brewer,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jeremy Bridges,N/A,N/A,N/A,N/A,3,N/A,N/A,4,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A
Justin Britt,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eben Britton,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brandon Brooks,N/A,N/A,N/A,N/A,6,7,6,7,11,10,10,N/A,N/A,N/A,N/A,N/A,N/A
Elton Brown,N/A,N/A,N/A,4,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jamon Brown,N/A,N/A,3,N/A,8,4,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jason Brown,N/A,N/A,N/A,6,6,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Milford Brown,N/A,N/A,N/A,N/A,N/A,5,6,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dan Buenning,N/A,N/A,N/A,N/A,7,2,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jermon Bushrod,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,4,N/A,N/A,N/A
Brad Butler,N/A,N/A,N/A,N/A,6,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Antoine Caldwell,N/A,N/A,N/A,N/A,5,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A.J. Cann,N/A,N/A,N/A,N/A,7,7,8,5,7,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vernon Carey,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A
James Carpenter,N/A,N/A,N/A,N/A,6,8,8,6,7,4,6,7,N/A,N/A,N/A,N/A,N/A
Chris Chester,N/A,N/A,N/A,2,3,5,7,7,7,10,7,7,7,11,N/A,N/A,N/A
Le'Raven Clark,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adrien Clarke,N/A,N/A,N/A,N/A,2,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jeromey Clary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A
Daryn Colledge,N/A,N/A,N/A,N/A,6,8,9,11,9,7,5,7,7,N/A,N/A,N/A,N/A
Willie Colon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,5,7,N/A,N/A,N/A,N/A,N/A
Tom Compton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,2,N/A,N/A,N/A,N/A,N/A,N/A
Ryan Cook,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jonathan Cooper,N/A,N/A,N/A,N/A,1,6,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Junius Coston,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joe Dahl,N/A,N/A,N/A,N/A,N/A,1,6,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trey Darilek,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David DeCastro,N/A,N/A,N/A,7,8,15,12,14,9,8,7,N/A,N/A,N/A,N/A,N/A,N/A
Chris DeGeare,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David Diehl,N/A,N/A,N/A,5,N/A,9,8,N/A,N/A,N/A,N/A,8,N/A,4,N/A,N/A,N/A
Derrick Dockery,N/A,N/A,N/A,6,5,8,8,6,7,7,N/A,2,2,N/A,N/A,N/A,N/A
Jamil Douglas,N/A,N/A,N/A,3,N/A,N/A,N/A,3,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dakota Dozier,N/A,N/A,N/A,N/A,N/A,1,2,N/A,3,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Spencer Drango,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vlad Ducasse,N/A,N/A,N/A,N/A,1,1,2,3,6,3,5,3,N/A,N/A,N/A,N/A,N/A
King Dunlap,N/A,N/A,N/A,N/A,1,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Laurent Duvernay-Tardif,N/A,N/A,N/A,N/A,7,5,6,N/A,8,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A
