Player,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Matthew Bosher,,,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,,,,,,,
Josh Brown,,,3.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,,3.0,4.0,5.0,,
Randy Bullock,,,1.0,3.0,1.0,,3.0,3.0,4.0,2.0,3.0,3.0,,,,,
Mason Crosby,,3.0,2.0,2.0,3.0,3.0,,4.0,3.0,4.0,3.0,2.0,3.0,5.0,5.0,1.0,3.0
Stephen Gostkowski,2.0,3.0,4.0,4.0,1.0,3.0,3.0,5.0,5.0,6.0,3.0,5.0,3.0,,2.0,,
Alex Henery,,,4.0,3.0,2.0,,,,,,,,,,,,
Nate Kaeding,3.0,4.0,4.0,4.0,2.0,4.0,3.0,,,,,,,,,,
Pat McAfee,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,,,,,,,,,
Mike Nugent,,3.0,4.0,2.0,,,2.0,3.0,2.0,3.0,2.0,3.0,,2.0,,,
Josh Scobee,2.0,2.0,4.0,2.0,2.0,1.0,3.0,5.0,4.0,4.0,3.0,,,,,,
Caleb Sturgis,,,2.0,2.0,2.0,3.0,,,,,,,,,,,
Ryan Succop,,4.0,2.0,3.0,3.0,2.0,3.0,4.0,5.0,3.0,3.0,,3.0,2.0,2.0,,
Blair Walsh,6.0,3.0,2.0,3.0,,1.0,,,,,,,,,,,
