Player,AV,Age,Pos,-9999
Matthew Bosher,1,24,K,BoshMa00
Matthew Bosher,2,25,K,BoshMa00
Matthew Bosher,2,26,K,BoshMa00
Matthew Bosher,3,27,K,BoshMa00
Matthew Bosher,2,28,K,BoshMa00
Matthew Bosher,2,29,K,BoshMa00
Matthew Bosher,2,30,K,BoshMa00
Matthew Bosher,2,31,K,BoshMa00
Josh Brown,3,24,K,brownjos01
Josh Brown,5,25,K,brownjos01
Josh Brown,3,26,K,brownjos01
Josh Brown,3,27,K,brownjos01
Josh Brown,4,28,K,brownjos01
Josh Brown,4,29,K,brownjos01
Josh Brown,4,30,K,brownjos01
Josh Brown,3,31,K,brownjos01
Josh Brown,2,32,K,brownjos01
Josh Brown,3,34,K,brownjos01
Josh Brown,4,35,K,brownjos01
Josh Brown,5,36,K,brownjos01
David Buehler,2,23,K,BuehDa44
Randy Bullock,1,24,K,BullRa00
Randy Bullock,3,25,K,BullRa00
Randy Bullock,1,26,K,BullRa00
Randy Bullock,3,28,K,BullRa00
Randy Bullock,3,29,K,BullRa00
Randy Bullock,4,30,K,BullRa00
Randy Bullock,2,31,K,BullRa00
Randy Bullock,3,32,K,BullRa00
Randy Bullock,3,33,K,BullRa00
Mason Crosby,3,23,K,CrosMa20
Mason Crosby,2,24,K,CrosMa20
Mason Crosby,2,25,K,CrosMa20
Mason Crosby,3,26,K,CrosMa20
Mason Crosby,3,27,K,CrosMa20
Mason Crosby,4,29,K,CrosMa20
Mason Crosby,3,30,K,CrosMa20
Mason Crosby,4,31,K,CrosMa20
Mason Crosby,3,32,K,CrosMa20
Mason Crosby,2,33,K,CrosMa20
Mason Crosby,3,34,K,CrosMa20
Mason Crosby,5,35,K,CrosMa20
Mason Crosby,5,36,K,CrosMa20
Mason Crosby,1,37,K,CrosMa20
Mason Crosby,3,38,K,CrosMa20
Paul Ernster,2,24,K,ErnsPa20
Stephen Gostkowski,2,22,K,GostSt20
Stephen Gostkowski,3,23,K,GostSt20
Stephen Gostkowski,4,24,K,GostSt20
Stephen Gostkowski,4,25,K,GostSt20
Stephen Gostkowski,1,26,K,GostSt20
Stephen Gostkowski,3,27,K,GostSt20
Stephen Gostkowski,3,28,K,GostSt20
Stephen Gostkowski,5,29,K,GostSt20
Stephen Gostkowski,5,30,K,GostSt20
Stephen Gostkowski,6,31,K,GostSt20
Stephen Gostkowski,3,32,K,GostSt20
Stephen Gostkowski,5,33,K,GostSt20
Stephen Gostkowski,3,34,K,GostSt20
Stephen Gostkowski,2,36,K,GostSt20
Alex Henery,4,24,K,HeneAl00
Alex Henery,3,25,K,HeneAl00
Alex Henery,2,26,K,HeneAl00
Nate Kaeding,3,22,K,kaedinat01
Nate Kaeding,4,23,K,kaedinat01
Nate Kaeding,4,24,K,kaedinat01
Nate Kaeding,4,25,K,kaedinat01
Nate Kaeding,2,26,K,kaedinat01
Nate Kaeding,4,27,K,kaedinat01
Nate Kaeding,3,28,K,kaedinat01
Pat McAfee,2,22,K,McAfPa44
Pat McAfee,2,23,K,McAfPa44
Pat McAfee,3,24,K,McAfPa44
Pat McAfee,3,25,K,McAfPa44
Pat McAfee,2,26,K,McAfPa44
Pat McAfee,3,27,K,McAfPa44
Pat McAfee,3,28,K,McAfPa44
Pat McAfee,3,29,K,McAfPa44
Justin Medlock,1,29,K,MedlJu20
Mike Nugent,3,23,K,nugenmik01
Mike Nugent,4,24,K,nugenmik01
Mike Nugent,2,25,K,nugenmik01
Mike Nugent,2,28,K,nugenmik01
Mike Nugent,3,29,K,nugenmik01
Mike Nugent,2,30,K,nugenmik01
Mike Nugent,3,31,K,nugenmik01
Mike Nugent,2,32,K,nugenmik01
Mike Nugent,3,33,K,nugenmik01
Mike Nugent,2,35,K,nugenmik01
Dave Rayner,1,24,K,raynedav01
Dave Rayner,2,28,K,raynedav01
Josh Scobee,2,22,K,scobejos01
Josh Scobee,2,23,K,scobejos01
Josh Scobee,4,24,K,scobejos01
Josh Scobee,2,25,K,scobejos01
Josh Scobee,2,26,K,scobejos01
Josh Scobee,1,27,K,scobejos01
Josh Scobee,3,28,K,scobejos01
Josh Scobee,5,29,K,scobejos01
Josh Scobee,4,30,K,scobejos01
Josh Scobee,4,31,K,scobejos01
Josh Scobee,3,32,K,scobejos01
Caleb Sturgis,2,24,K,SturCa00
Caleb Sturgis,2,25,K,SturCa00
Caleb Sturgis,2,26,K,SturCa00
Caleb Sturgis,3,27,K,SturCa00
Ryan Succop,4,23,K,SuccRy44
Ryan Succop,2,24,K,SuccRy44
Ryan Succop,3,25,K,SuccRy44
Ryan Succop,3,26,K,SuccRy44
Ryan Succop,2,27,K,SuccRy44
Ryan Succop,3,28,K,SuccRy44
Ryan Succop,4,29,K,SuccRy44
Ryan Succop,5,30,K,SuccRy44
Ryan Succop,3,31,K,SuccRy44
Ryan Succop,3,32,K,SuccRy44
Ryan Succop,3,34,K,SuccRy44
Ryan Succop,2,35,K,SuccRy44
Ryan Succop,2,36,K,SuccRy44
Blair Walsh,6,22,K,WalsBl00
Blair Walsh,3,23,K,WalsBl00
Blair Walsh,2,24,K,WalsBl00
Blair Walsh,3,25,K,WalsBl00
Blair Walsh,1,27,K,WalsBl00
