Player,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Matthew Bosher,N/A,N/A,1,2,2,3,2,2,2,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Josh Brown,N/A,N/A,3,5,3,3,4,4,4,3,2,N/A,3,4,5,N/A,N/A
David Buehler,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Randy Bullock,N/A,N/A,1,3,1,N/A,3,3,4,2,3,3,N/A,N/A,N/A,N/A,N/A
Mason Crosby,N/A,3,2,2,3,3,N/A,4,3,4,3,2,3,5,5,1,3
Paul Ernster,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stephen Gostkowski,2,3,4,4,1,3,3,5,5,6,3,5,3,N/A,2,N/A,N/A
Alex Henery,N/A,N/A,4,3,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nate Kaeding,3,4,4,4,2,4,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pat McAfee,2,2,3,3,2,3,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Justin Medlock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mike Nugent,N/A,3,4,2,N/A,N/A,2,3,2,3,2,3,N/A,2,N/A,N/A,N/A
Dave Rayner,N/A,N/A,1,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Josh Scobee,2,2,4,2,2,1,3,5,4,4,3,N/A,N/A,N/A,N/A,N/A,N/A
Caleb Sturgis,N/A,N/A,2,2,2,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ryan Succop,N/A,4,2,3,3,2,3,4,5,3,3,N/A,3,2,2,N/A,N/A
Blair Walsh,6,3,2,3,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
