Player,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Sam Acho,,,,6.0,9.0,,,4.0,3.0,6.0,,,,,,,,
D.J. Alexander,,,,,1.0,4.0,1.0,1.0,,,,,,,,,,
James Allen,,,,2.0,2.0,5.0,,,,,,,,,,,,
Kiko Alonso,,,,10.0,,2.0,8.0,7.0,7.0,2.0,,,,,,,,
Jon Alston,,,,,1.0,2.0,2.0,,,,,,,,,,,
Charlie Anderson,,,,2.0,1.0,1.0,3.0,2.0,1.0,,,,,,,,,
James Anderson,,,,2.0,1.0,1.0,5.0,8.0,6.0,5.0,6.0,,,,,,,
Ryan Anderson,,,,1.0,1.0,3.0,1.0,,,,,,,,,,,
Pat Angerer,,,,5.0,7.0,2.0,5.0,,,,,,,,,,,
Stephone Anthony,,,,6.0,2.0,1.0,1.0,1.0,,,,,,,,,,
Jeremiah Attaochu,,1.0,6.0,1.0,,1.0,4.0,3.0,,,,,,,,,,
Akeem Ayers,,,8.0,5.0,6.0,3.0,7.0,2.0,,,,,,,,,,
Akin Ayodele,,,,3.0,8.0,9.0,7.0,7.0,6.0,7.0,6.0,4.0,,,,,,
Boss Bailey,,,,,8.0,,5.0,5.0,4.0,,,,,,,,,
Ben Banogu,,,,1.0,1.0,1.0,,,,,,,,,,,,
Tully Banta-Cain,,,,1.0,2.0,1.0,4.0,6.0,1.0,6.0,3.0,,,,,,,
Antwan Barnes,,,,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,
Nick Barnett,,,9.0,7.0,9.0,7.0,13.0,3.0,8.0,,7.0,6.0,1.0,,,,,
Anthony Barr,,,7.0,9.0,10.0,11.0,9.0,7.0,,6.0,6.0,,,,,,,
Connor Barwin,,,,,,8.0,8.0,8.0,12.0,7.0,,6.0,,,,,,
Jon Beason,,,8.0,15.0,16.0,10.0,,,7.0,,,,,,,,,
Kevin Bentley,,,,2.0,7.0,3.0,3.0,1.0,2.0,4.0,1.0,3.0,,,,,,
Vince Biegel,,,,,1.0,1.0,3.0,,,,,,,,,,,
Desmond Bishop,,,,1.0,1.0,2.0,8.0,6.0,,,,,,,,,,
Quincy Black,,,,1.0,1.0,6.0,5.0,4.0,3.0,,,,,,,,,
Darryl Blackstock,,,1.0,1.0,2.0,2.0,,,1.0,,,,,,,,,
H.B. Blades,,,,1.0,4.0,2.0,2.0,,,,,,,,,,,
Colby Bockwoldt,,,,4.0,7.0,1.0,,,,,,,,,,,,
Rocky Boiman,,,1.0,3.0,,2.0,1.0,4.0,3.0,,,,,,,,,
Michael Boley,,,,5.0,7.0,7.0,6.0,4.0,7.0,6.0,6.0,1.0,,,,,,
Jonathan Bostic,,,4.0,3.0,1.0,,6.0,7.0,6.0,9.0,,3.0,,,,,,
NaVorro Bowman,,,2.0,19.0,15.0,19.0,,14.0,,7.0,,,,,,,,
Nigel Bradham,,,,4.0,2.0,8.0,6.0,8.0,9.0,7.0,7.0,,,,,,,
Stewart Bradley,,,,,2.0,10.0,,5.0,2.0,1.0,,,,,,,,
Andre Branch,,,,2.0,2.0,1.0,,,,2.0,,,,,,,,
Lance Briggs,,,,6.0,10.0,19.0,16.0,10.0,12.0,10.0,12.0,11.0,11.0,3.0,3.0,,,
Jasper Brinkley,,,,,3.0,1.0,,7.0,2.0,6.0,4.0,,,,,,,
Ahmad Brooks,,,3.0,,,2.0,2.0,8.0,12.0,14.0,6.0,6.0,6.0,3.0,,,,
Kentrell Brothers,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
Jatavis Brown,,,4.0,4.0,5.0,2.0,,,,,,,,,,,,
Jayon Brown,,,2.0,8.0,8.0,4.0,3.0,3.0,,,,,,,,,,
Preston Brown,,,9.0,9.0,7.0,6.0,,4.0,,,,,,,,,,
Zach Brown,,,,7.0,7.0,,4.0,12.0,7.0,6.0,,,,,,,,
Deone Bucannon,,,,9.0,7.0,6.0,,3.0,,,,,,,,,,
Kevin Burnett,,,,1.0,2.0,2.0,3.0,4.0,9.0,10.0,8.0,7.0,,,,,,
Donald Butler,,,,7.0,6.0,6.0,6.0,4.0,3.0,,,,,,,,,
Victor Butler,,,2.0,1.0,1.0,2.0,,,,,,,,,,,,
Tank Carder,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
Bobby Carpenter,,,,1.0,1.0,1.0,3.0,3.0,3.0,,,,,,,,,
Bruce Carter,,,,1.0,5.0,5.0,6.0,2.0,1.0,1.0,1.0,,,,,,,
Chris Carter,,,1.0,2.0,1.0,,1.0,1.0,1.0,,,,,,,,,
Jermaine Carter Jr.,,,,1.0,3.0,4.0,7.0,,,,,,,,,,,
Chris Chamberlain,,,,1.0,1.0,3.0,6.0,,,,,,,,,,,
Jamar Chaney,,,,,2.0,8.0,2.0,,1.0,,,,,,,,,
Brandon Chillar,,,3.0,3.0,5.0,6.0,3.0,3.0,2.0,,,,,,,,,
Trent Cole,,,,,,,,,,,,7.0,6.0,3.0,,,,
Jamie Collins,,,,,4.0,9.0,12.0,7.0,,9.0,15.0,5.0,3.0,,,,,
Kavell Conner,,,,4.0,6.0,5.0,1.0,4.0,2.0,,,,,,,,,
Dan Connor,,,,,2.0,4.0,4.0,4.0,,,,,,,,,,
Kamalei Correa,,,1.0,2.0,3.0,4.0,2.0,,,,,,,,,,,
Channing Crowder,,,7.0,7.0,4.0,7.0,5.0,5.0,,,,,,,,,,
Tae Crowder,,,,4.0,9.0,4.0,,,,,,,,,,,,
Angelo Crowell,,,,1.0,5.0,6.0,7.0,,,,,,,,,,,
Jermaine Cunningham,,,4.0,1.0,3.0,,,,,,,,,,,,,
Aaron Curry,,,,5.0,6.0,6.0,,,,,,,,,,,,
Brian Cushing,,,11.0,4.0,14.0,,,7.0,9.0,6.0,,,,,,,,
Karlos Dansby,,,,8.0,9.0,5.0,7.0,7.0,8.0,7.0,9.0,9.0,16.0,6.0,7.0,5.0,8.0,
Andra Davis,,,,,2.0,8.0,6.0,8.0,7.0,5.0,7.0,6.0,,2.0,,,,
James Davis,,,,,1.0,6.0,6.0,,,,,,,,,,,
Rod Davis,,,,1.0,1.0,1.0,,,,,,,,,,,,
Thomas Davis,,,4.0,7.0,8.0,8.0,,,,6.0,10.0,7.0,16.0,11.0,9.0,5.0,8.0,
Akeem Dent,,,,,1.0,6.0,3.0,4.0,2.0,2.0,,,,,,,,
Zach Diles,,,1.0,4.0,6.0,4.0,,,,,,,,,,,,
Tim Dobbins,,,,,2.0,2.0,4.0,3.0,4.0,1.0,5.0,,,,,,,
Justin Durant,,,4.0,5.0,6.0,3.0,6.0,7.0,2.0,,5.0,1.0,,,,,,
Keith Ellison,,,4.0,4.0,7.0,4.0,1.0,,,,,,,,,,,
Kyle Emanuel,,,,,,5.0,6.0,4.0,,,,,,,,,,
Jordan Evans,,,3.0,3.0,1.0,2.0,,,,,,,,,,,,
Rashaan Evans,,,,5.0,9.0,7.0,6.0,7.0,,,,,,,,,,
Kyler Fackrell,,,,,,1.0,2.0,5.0,2.0,6.0,1.0,,,,,,,
Moise Fokou,,,,,3.0,5.0,3.0,2.0,6.0,,,,,,,,,
Larry Foote,,,3.0,1.0,9.0,9.0,8.0,8.0,9.0,5.0,2.0,4.0,10.0,,9.0,,,
Dee Ford,,,,1.0,3.0,7.0,,8.0,2.0,,,,,,,,,
Mason Foster,,,5.0,8.0,7.0,4.0,3.0,7.0,,9.0,,,,,,,,
Keyaron Fox,,,1.0,,3.0,1.0,2.0,4.0,2.0,1.0,,,,,,,,
Scott Fujita,,,,4.0,7.0,5.0,5.0,9.0,7.0,6.0,4.0,4.0,5.0,,,,,
Andrew Gachkar,,,,1.0,1.0,2.0,3.0,2.0,1.0,,,,,,,,,
Omar Gaither,,,4.0,8.0,7.0,,2.0,2.0,,1.0,,,,,,,,
Gilbert Gardner,,,1.0,2.0,4.0,1.0,,,,,,,,,,,,
Ben Gedeon,,,,5.0,5.0,2.0,,,,,,,,,,,,
Tony Gilbert,,,,,,1.0,2.0,2.0,,,1.0,,,,,,,
Chris Gocong,,,,,6.0,7.0,4.0,7.0,8.0,,,,,,,,,
Najee Goode,,,,,2.0,,1.0,1.0,3.0,2.0,2.0,,,,,,,
Tavares Gooden,,,,,,6.0,1.0,1.0,1.0,,,,,,,,,
B.J. Goodson,,,,1.0,,6.0,5.0,6.0,,,,,,,,,,
Larry Grant,,,,,1.0,5.0,3.0,1.0,,,,,,,,,,
Roderick Green,,,1.0,2.0,1.0,,1.0,,,,,,,,,,,
Chad Greenway,,,,,9.0,9.0,9.0,9.0,8.0,13.0,7.0,6.0,7.0,5.0,,,,
Nick Greisen,,,,1.0,1.0,4.0,7.0,6.0,2.0,2.0,,,,,,,,
Shaquem Griffin,,,,2.0,1.0,1.0,,,,,,,,,,,,
Boomer Grigsby,,,,,1.0,1.0,1.0,,,,,,,,,,,
Geneo Grissom,,,,1.0,1.0,1.0,,,,,,,,,,,,
Quentin Groves,,,,,1.0,,5.0,2.0,5.0,,2.0,,,,,,,
Bryce Hager,,,,1.0,1.0,2.0,1.0,,2.0,,,,,,,,,
Mario Haggan,,,,,2.0,1.0,1.0,1.0,1.0,7.0,6.0,2.0,2.0,,,,,
Tamba Hali,,,,,,,7.0,9.0,11.0,7.0,13.0,11.0,9.0,,,,,
Shaun Dion Hamilton,,,,3.0,2.0,3.0,,,,,,,,,,,,
Parys Haralson,,,,5.0,5.0,9.0,7.0,8.0,,5.0,5.0,,,,,,,
David Harris,,,,6.0,5.0,19.0,9.0,10.0,9.0,7.0,8.0,9.0,7.0,3.0,,,,
Napoleon Harris,,,,6.0,7.0,3.0,2.0,8.0,7.0,4.0,,,,,,,,
A.J. Hawk,,,8.0,8.0,6.0,7.0,9.0,6.0,7.0,7.0,6.0,5.0,,,,,,
Geno Hayes,,1.0,6.0,8.0,4.0,3.0,6.0,5.0,,,,,,,,,,
Gerald Hayes,,,,1.0,2.0,,6.0,8.0,5.0,6.0,,,,,,,,
Adam Hayward,,,,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,,,,,,,
E.J. Henderson,,,,1.0,4.0,6.0,10.0,8.0,,6.0,11.0,6.0,,,,,,
Will Herring,,,,,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,,,,,,
Dont'a Hightower,,,7.0,7.0,6.0,7.0,13.0,,8.0,17.0,,8.0,,,,,,
LeRoy Hill,,,,6.0,7.0,7.0,5.0,4.0,,8.0,6.0,,,,,,,
Hunter Hillenmeyer,,,,1.0,7.0,7.0,7.0,7.0,3.0,6.0,,,,,,,,
Anthony Hitchens,,,6.0,5.0,7.0,6.0,6.0,7.0,6.0,6.0,,,,,,,,
Victor Hobson,,,,2.0,6.0,6.0,8.0,6.0,,,,,,,,,,
Gerald Hodges,,,1.0,5.0,4.0,5.0,1.0,,,,,,,,,,,
Thomas Howard,,,,6.0,8.0,7.0,6.0,1.0,8.0,,,,,,,,,
Josh Hull,,,,,1.0,1.0,1.0,,,,,,,,,,,
Clint Ingram,,,,7.0,6.0,5.0,5.0,,,,,,,,,,,
Melvin Ingram,,,,,,4.0,8.0,7.0,,,,,,3.0,,,,
Bruce Irvin,,,,,,,7.0,7.0,6.0,7.0,7.0,,5.0,,,4.0,,
Nate Irving,,,,1.0,1.0,3.0,4.0,1.0,,,,,,,,,,
Joel Iyiegbuniwe,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
Myles Jack,,5.0,9.0,10.0,5.0,6.0,6.0,6.0,,,,,,,,,,
D'Qwell Jackson,,,,6.0,6.0,9.0,,,10.0,9.0,7.0,11.0,8.0,6.0,,,,
Bradie James,,,2.0,2.0,8.0,7.0,8.0,8.0,9.0,7.0,6.0,8.0,,,,,,
Jelani Jenkins,,1.0,6.0,5.0,3.0,,,,,,,,,,,,,
Jordan Jenkins,,,5.0,7.0,6.0,7.0,6.0,1.0,,,,,,,,,,
Leon Joe,,,,,2.0,1.0,1.0,,,,,,,,,,,
Brandon Johnson,,,,,,5.0,3.0,3.0,2.0,1.0,,,,,,,,
Derrick Johnson,,,,7.0,6.0,9.0,5.0,3.0,9.0,14.0,8.0,11.0,,14.0,7.0,7.0,,
James-Michael Johnson,,,,4.0,2.0,5.0,,,,,,,,,,,,
Jarret Johnson,,,,,,,6.0,9.0,8.0,8.0,9.0,6.0,4.0,5.0,,,,
Landon Johnson,,,,6.0,4.0,7.0,7.0,1.0,2.0,4.0,,,,,,,,
Brad Jones,,,,4.0,,1.0,5.0,6.0,1.0,,,,,,,,,
Cato June,,,,,1.0,7.0,12.0,7.0,8.0,7.0,,,,,,,,
Peter Kalambayi,,,,1.0,1.0,1.0,,,,,,,,,,,,
Stanford Keglar,,,,1.0,1.0,1.0,,,,,,,,,,,,
Bryan Kehl,,,,,3.0,1.0,2.0,1.0,,,,,,,,,,
Freddy Keiaho,,,,,1.0,5.0,8.0,2.0,,,,,,,,,,
Mychal Kendricks,,,5.0,9.0,5.0,6.0,4.0,7.0,,6.0,,,,,,,,
Devon Kennard,,,,3.0,3.0,5.0,5.0,7.0,8.0,,,,,,,,,
Ryan Kerrigan,,,,,9.0,7.0,8.0,8.0,9.0,11.0,10.0,4.0,,,,,,
A.J. Klein,,,2.0,4.0,4.0,3.0,5.0,7.0,7.0,6.0,4.0,2.0,,,,,,
Niko Koutouvides,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
Paul Kruger,,,,,,,5.0,6.0,8.0,5.0,,,,,,,,
Luke Kuechly,,8.0,18.0,15.0,15.0,10.0,15.0,14.0,12.0,,,,,,,,,
Nick Kwiatkoski,,,,3.0,4.0,2.0,6.0,5.0,1.0,1.0,,,,,,,,
James Laurinaitis,,,,7.0,9.0,8.0,9.0,8.0,10.0,8.0,,,,,,,,
Manny Lawson,,,5.0,,5.0,9.0,7.0,7.0,6.0,8.0,,7.0,,,,,,
Ben Leber,,,,,6.0,5.0,7.0,3.0,7.0,6.0,9.0,6.0,5.0,,,,,
Darron Lee,,,4.0,7.0,7.0,2.0,,,,,,,,,,,,
Elijah Lee,,1.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
Sean Lee,,,,,2.0,8.0,,5.0,,10.0,16.0,6.0,,7.0,1.0,,,
DeAndre Levy,,,4.0,6.0,8.0,6.0,10.0,15.0,,,,,,,,,,
Alex Lewis,,,,2.0,,2.0,1.0,2.0,,,,,,,,,,
Curtis Lofton,,,7.0,8.0,8.0,9.0,6.0,9.0,7.0,4.0,,,,,,,,
Kaluka Maiava,,,2.0,,4.0,6.0,1.0,,,,,,,,,,,
Brandon Marshall,,,,,,7.0,9.0,5.0,8.0,3.0,,,,,,,,
Blake Martinez,,,4.0,8.0,9.0,10.0,9.0,,,,,,,,,,,
Casey Matthews,,,3.0,1.0,1.0,5.0,,,,,,,,,,,,
Clay Matthews,,,,9.0,17.0,9.0,10.0,5.0,10.0,13.0,4.0,6.0,7.0,5.0,,,,
Rey Maualuga,,,7.0,7.0,7.0,9.0,8.0,6.0,8.0,4.0,,,,,,,,
Michael Mauti,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,
Jerod Mayo,,,9.0,7.0,14.0,6.0,11.0,,,5.0,,,,,,,,
Joe Mays,,,,,1.0,2.0,6.0,,6.0,2.0,1.0,,,,,,,
Rolando McClain,,6.0,6.0,4.0,,6.0,6.0,,,,,,,,,,,
Rocky McIntosh,,,,,2.0,7.0,9.0,8.0,7.0,4.0,5.0,1.0,,,,,,
Benardrick McKinney,,,,6.0,14.0,7.0,12.0,6.0,,2.0,,,,,,,,
Gerald McRath,,,,3.0,3.0,1.0,,,,,,,,,,,,
Whitney Mercilus,,,,7.0,7.0,7.0,14.0,,5.0,7.0,5.0,,,,,,,
Shawne Merriman,,7.0,13.0,13.0,,6.0,,,1.0,,,,,,,,,
Barkevious Mingo,,,,3.0,6.0,2.0,1.0,4.0,7.0,1.0,3.0,,,,,,,
Kevin Minter,,,,1.0,4.0,7.0,8.0,3.0,,2.0,2.0,3.0,,,,,,
Koa Misi,,,,6.0,5.0,7.0,6.0,4.0,5.0,,,,,,,,,
Kawika Mitchell,,,,,3.0,4.0,8.0,8.0,9.0,7.0,,,,,,,,
Marvin Mitchell,,,,1.0,1.0,2.0,2.0,2.0,1.0,4.0,,,,,,,,
Arthur Moats,,,2.0,1.0,2.0,6.0,4.0,6.0,3.0,1.0,,,,,,,,
Sio Moore,,,,5.0,5.0,1.0,4.0,,,,,,,,,,,
Derrick Morgan,,,,,,6.0,4.0,7.0,6.0,6.0,,,,,,,,
Antonio Morrison,,,3.0,6.0,4.0,,,,,,,,,,,,,
Kirk Morrison,,,,7.0,8.0,8.0,7.0,7.0,5.0,1.0,,,,,,,,
Trent Murphy,,,,,4.0,7.0,2.0,,,,,,,,,,,
Mike Neal,,,,,,2.0,5.0,3.0,8.0,,,,,,,,,
Corey Nelson,,,1.0,2.0,4.0,,,,,,,,,,,,,
Stephen Nicholas,,,,,1.0,1.0,7.0,6.0,4.0,8.0,2.0,,,,,,,
Mark Nzeocha,,,,,,,,1.0,2.0,2.0,,,,,,,,
Dorian O'Daniel,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,
Alec Ogletree,,,8.0,9.0,,13.0,8.0,7.0,6.0,,6.0,,,,,,,
Brian Orakpo,,,,10.0,9.0,7.0,,9.0,,6.0,11.0,7.0,7.0,,,,,
Calvin Pace,,,,,,,2.0,8.0,8.0,8.0,7.0,9.0,8.0,7.0,7.0,7.0,,
Nate Palmer,,,,,1.0,,6.0,1.0,1.0,,,,,,,,,
Antwan Peek,,,,,2.0,2.0,5.0,1.0,3.0,,,,,,,,,
