Player,AV,Age,Pos,-9999
Khalid Abdullah,1,24,LB,AbduKh20
Emmanuel Acho,2,24,LB,AchoEm00
Sam Acho,6,23,LOLB,AchoSa00
Sam Acho,9,24,LOLB/ROLB,AchoSa00
Sam Acho,4,27,LOLB,AchoSa00
Sam Acho,3,28,LOLB,AchoSa00
Sam Acho,6,29,LOLB,AchoSa00
Xavier Adibi,1,25,LB,AdibXa99
Xavier Adibi,1,26,LB,AdibXa99
Spencer Adkins,1,23,LB,AdkiSp99
Spencer Adkins,1,24,LB,AdkiSp99
D.J. Alexander,1,24,LB,AlexD.00
D.J. Alexander,4,25,LB,AlexD.00
D.J. Alexander,1,26,LB,AlexD.00
D.J. Alexander,1,27,LB,AlexD.00
Mackensie Alexander,4,27,RLB,AlexMa01
Mackensie Alexander,2,28,RLB,AlexMa01
Dakota Allen,1,25,LB,AlleDa01
Dakota Allen,1,26,LB,AlleDa01
James Allen,2,23,LB,AlleJa21
James Allen,2,24,LB,AlleJa21
James Allen,5,25,LLB,AlleJa21
Marcus Allen,1,26,LB,AlleMa03
Kiko Alonso,10,23,MLB,AlonKi00
Kiko Alonso,2,25,LB,AlonKi00
Kiko Alonso,8,26,MLB,AlonKi00
Kiko Alonso,7,27,LOLB,AlonKi00
Kiko Alonso,7,28,LLB,AlonKi00
Kiko Alonso,2,29,LB,AlonKi00
Jon Alston,1,24,LB,AlstJo20
Jon Alston,2,25,LB,AlstJo20
Jon Alston,2,26,LB,AlstJo20
Charlie Anderson,2,23,LB,AndeCh21
Charlie Anderson,1,24,LB,AndeCh21
Charlie Anderson,1,25,LB,AndeCh21
Charlie Anderson,3,26,LLB,AndeCh21
Charlie Anderson,2,27,LB,AndeCh21
Charlie Anderson,1,28,LB,AndeCh21
James Anderson,2,23,LB,AndeJa21
James Anderson,1,24,LB,AndeJa21
James Anderson,1,25,LB,AndeJa21
James Anderson,5,26,RLB,AndeJa21
James Anderson,8,27,LLB,AndeJa21
James Anderson,6,28,LLB,AndeJa21
James Anderson,5,29,LLB,AndeJa21
James Anderson,6,30,RLB,AndeJa21
Ryan Anderson,1,23,LB,AndeRy00
Ryan Anderson,1,24,LB,AndeRy00
Ryan Anderson,3,25,LB,AndeRy00
Ryan Anderson,1,26,LB,AndeRy00
Pat Angerer,5,23,LLB,AngePa99
Pat Angerer,7,24,MLB,AngePa99
Pat Angerer,2,25,LB,AngePa99
Pat Angerer,5,26,LILB,AngePa99
Stephone Anthony,6,23,MLB,AnthSt00
Stephone Anthony,2,24,LB,AnthSt00
Stephone Anthony,1,25,LB,AnthSt00
Stephone Anthony,1,26,LB,AnthSt00
Stephone Anthony,1,27,LB,AnthSt00
Stanley Arnoux,1,24,LB,ArnoSt99
Jeremiah Attaochu,1,21,LB,AttaJe00
Jeremiah Attaochu,6,22,ROLB,AttaJe00
Jeremiah Attaochu,1,23,LB,AttaJe00
Jeremiah Attaochu,1,25,LB,AttaJe00
Jeremiah Attaochu,4,26,LOLB,AttaJe00
Jeremiah Attaochu,3,27,OLB,AttaJe00
Akeem Ayers,8,22,LLB,AyerAk00
Akeem Ayers,5,23,LLB,AyerAk00
Akeem Ayers,6,24,LLB,AyerAk00
Akeem Ayers,3,25,LB,AyerAk00
Akeem Ayers,7,26,RLB,AyerAk00
Akeem Ayers,2,27,LB,AyerAk00
Robert Ayers,3,25,ROLB,AyerRo99
Akin Ayodele,3,23,LB,AyodAk20
Akin Ayodele,8,24,LLB,AyodAk20
Akin Ayodele,9,25,RLB,AyodAk20
Akin Ayodele,7,26,LLB,AyodAk20
Akin Ayodele,7,27,RILB,AyodAk20
Akin Ayodele,6,28,RILB,AyodAk20
Akin Ayodele,7,29,RILB,AyodAk20
Akin Ayodele,6,30,RILB,AyodAk20
Akin Ayodele,4,31,LILB,AyodAk20
Jason Babin,8,24,LOLB,BabiJa20
Jason Babin,6,33,LOLB,BabiJa20
Jason Babin,3,34,LB,BabiJa20
Boss Bailey,8,24,RLB,BailBo20
Boss Bailey,5,26,LLB,BailBo20
Boss Bailey,5,27,LLB,BailBo20
Boss Bailey,4,28,LLB,BailBo20
Ben Banogu,1,23,LB,BanoBe00
Ben Banogu,1,24,LB,BanoBe00
Ben Banogu,1,25,LB,BanoBe00
Tully Banta-Cain,1,23,LB,BantTu20
Tully Banta-Cain,2,24,LB,BantTu20
Tully Banta-Cain,1,25,LB,BantTu20
Tully Banta-Cain,4,26,ROLB,BantTu20
Tully Banta-Cain,6,27,ROLB,BantTu20
Tully Banta-Cain,1,28,LB,BantTu20
Tully Banta-Cain,6,29,LOLB,BantTu20
Tully Banta-Cain,3,30,LOLB,BantTu20
Antwan Barnes,1,23,LB,BarnAn99
Antwan Barnes,1,24,LB,BarnAn99
Antwan Barnes,1,25,LB,BarnAn99
Antwan Barnes,1,26,LB,BarnAn99
Antwan Barnes,3,27,LOLB,BarnAn99
Antwan Barnes,1,28,LB,BarnAn99
Nick Barnett,9,22,MLB,BarnNi20
Nick Barnett,7,23,MLB,BarnNi20
Nick Barnett,9,24,MLB,BarnNi20
Nick Barnett,7,25,MLB,BarnNi20
Nick Barnett,13,26,MLB,BarnNi20
Nick Barnett,3,27,MLB,BarnNi20
Nick Barnett,8,28,RILB,BarnNi20
Nick Barnett,7,30,RILB,BarnNi20
Nick Barnett,6,31,RLB,BarnNi20
Nick Barnett,1,32,LB,BarnNi20
Anthony Barr,7,22,RLB,BarrAn00
Anthony Barr,9,23,RLB,BarrAn00
Anthony Barr,10,24,RLB,BarrAn00
Anthony Barr,11,25,RLB,BarrAn00
Anthony Barr,9,26,RLB,BarrAn00
Anthony Barr,7,27,RLB,BarrAn00
Anthony Barr,6,29,LLB,BarrAn00
Anthony Barr,6,30,LB,BarrAn00
Sam Barrington,4,24,RILB,BarrSa00
Mark Barron,12,26,LLB,BarrMa00
Mark Barron,14,27,LLB,BarrMa00
Mark Barron,5,29,RILB,BarrMa00
Mark Barron,6,30,LILB,BarrMa00
Lamin Barrow,1,24,LB,BarrLa00
Lamin Barrow,1,25,LB,BarrLa00
Connor Barwin,8,25,ROLB,BarwCo99
Connor Barwin,8,26,ROLB,BarwCo99
Connor Barwin,8,27,LOLB,BarwCo99
Connor Barwin,12,28,LOLB,BarwCo99
Connor Barwin,7,29,LOLB,BarwCo99
Connor Barwin,6,31,LILB,BarwCo99
Tarell Basham,5,26,LOLB,BashTa00
David Bass,4,25,LOLB,BassDa00
Solomon Bates,2,22,LB,BateSo20
Trevor Bates,1,25,LB,BateTr00
Danny Batten,2,24,LB,BattDa99
Vic Beasley,12,24,LILB,BeasVi00
Vic Beasley,4,25,LLB,BeasVi00
Jon Beason,8,22,MLB/RLB,BeasJo99
Jon Beason,15,23,MLB,BeasJo99
Jon Beason,16,24,MLB,BeasJo99
Jon Beason,10,25,RLB/MLB,BeasJo99
Jon Beason,7,28,LB,BeasJo99
Jordan Beck,1,23,LB,BeckJo20
Jordan Beck,1,24,LB,BeckJo20
Kendell Beckwith,5,23,MLB,BeckKe00
Kevin Bentley,2,23,LB,BentKe20
Kevin Bentley,7,24,LLB,BentKe20
Kevin Bentley,3,25,LB,BentKe20
Kevin Bentley,3,26,LB,BentKe20
Kevin Bentley,1,27,LB,BentKe20
Kevin Bentley,2,28,LB,BentKe20
Kevin Bentley,4,29,RLB,BentKe20
Kevin Bentley,1,30,LB,BentKe20
Kevin Bentley,3,31,MLB,BentKe20
Vince Biegel,1,24,LB,BiegVi00
Vince Biegel,1,25,LB,BiegVi00
Vince Biegel,3,26,RILB,BiegVi00
Kroy Biermann,1,23,LB,BierKr99
Kroy Biermann,3,24,LB,BierKr99
Kroy Biermann,2,26,LB,BierKr99
Kroy Biermann,6,29,RLB/LDE,BierKr99
Kroy Biermann,2,30,LB,BierKr99
Keishawn Bierria,1,23,LB,BierKe00
Desmond Bishop,1,23,LB,BishDe99
Desmond Bishop,1,24,LB,BishDe99
Desmond Bishop,2,25,LB,BishDe99
Desmond Bishop,8,26,RILB,BishDe99
Desmond Bishop,6,27,RILB,BishDe99
Quincy Black,1,23,LB,BlacQu99
Quincy Black,1,24,LB,BlacQu99
Quincy Black,6,25,LLB,BlacQu99
Quincy Black,5,26,LLB,BlacQu99
Quincy Black,4,27,LLB,BlacQu99
Quincy Black,3,28,LLB,BlacQu99
Darryl Blackstock,1,22,LB,BlacDa20
Darryl Blackstock,1,23,LB,BlacDa20
Darryl Blackstock,2,24,LB,BlacDa20
Darryl Blackstock,2,25,LB,BlacDa20
Darryl Blackstock,1,28,LB,BlacDa20
H.B. Blades,1,23,LB,BladH.99
H.B. Blades,4,24,LLB,BladH.99
H.B. Blades,2,25,LB,BladH.99
H.B. Blades,2,26,LB,BladH.99
Colby Bockwoldt,4,23,RLB,BockCo20
Colby Bockwoldt,7,24,RLB,BockCo20
Colby Bockwoldt,1,25,LB,BockCo20
Rocky Boiman,1,22,LB,BoimRo20
Rocky Boiman,3,23,LB,BoimRo20
Rocky Boiman,2,25,LB,BoimRo20
Rocky Boiman,1,26,LB,BoimRo20
Rocky Boiman,4,27,LLB,BoimRo20
Rocky Boiman,3,28,RLB/MLB,BoimRo20
Michael Boley,5,23,LLB,BoleMi20
Michael Boley,7,24,LLB,BoleMi20
Michael Boley,7,25,LLB,BoleMi20
Michael Boley,6,26,LLB,BoleMi20
Michael Boley,4,27,RLB,BoleMi20
Michael Boley,7,28,RLB,BoleMi20
Michael Boley,6,29,MLB,BoleMi20
Michael Boley,6,30,RLB,BoleMi20
Michael Boley,1,31,LB,BoleMi20
Devante Bond,2,24,LB,BondDe00
Devante Bond,2,25,LLB,BondDe00
Chris Borland,6,23,RILB,BorlCh00
Jonathan Bostic,4,22,MLB,BostJo00
Jonathan Bostic,3,23,LLB,BostJo00
Jonathan Bostic,1,24,LB,BostJo00
Jonathan Bostic,6,26,RILB,BostJo00
Jonathan Bostic,7,27,LILB,BostJo00
Jonathan Bostic,6,28,RILB,BostJo00
Jonathan Bostic,9,29,MLB,BostJo00
Jonathan Bostic,3,31,LB,BostJo00
NaVorro Bowman,2,22,LB,BowmNa99
NaVorro Bowman,19,23,LILB,BowmNa99
NaVorro Bowman,15,24,LILB,BowmNa99
NaVorro Bowman,19,25,LILB,BowmNa99
NaVorro Bowman,14,27,LILB,BowmNa99
NaVorro Bowman,7,29,MLB,BowmNa99
Nigel Bradham,4,23,LLB,BradNi00
Nigel Bradham,2,24,LB,BradNi00
Nigel Bradham,8,25,RLB,BradNi00
Nigel Bradham,6,26,RLB,BradNi00
Nigel Bradham,8,27,LLB,BradNi00
Nigel Bradham,9,28,RLB,BradNi00
