Player,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Derek Anderson,N/A,N/A,N/A,14,2,-4,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kyle Boller,N/A,3,6,3,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brooks Bollinger,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blake Bortles,N/A,5,14,10,13,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sam Bradford,N/A,N/A,9,3,10,N/A,N/A,8,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jason Campbell,N/A,N/A,N/A,N/A,9,N/A,11,9,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David Carr,N/A,N/A,5,7,13,11,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Matt Cassel,N/A,N/A,N/A,N/A,N/A,17,7,13,3,2,6,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
Jimmy Clausen,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kellen Clemens,N/A,N/A,N/A,3,N/A,0,N/A,N/A,N/A,6,N/A,N/A,0,0,N/A,N/A,N/A,N/A,N/A
Brodie Croyle,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jay Cutler,N/A,N/A,N/A,12,15,10,12,7,11,9,11,11,N/A,6,N/A,N/A,N/A,N/A,N/A
B.J. Daniels,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ken Dorsey,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Armanti Edwards,N/A,N/A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trent Edwards,N/A,N/A,N/A,3,9,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ryan Fitzpatrick,N/A,N/A,N/A,N/A,N/A,3,3,9,11,11,9,8,13,5,N/A,7,10,7,N/A
Matt Flynn,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Josh Freeman,2,13,8,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Charlie Frye,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David Garrard,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,13,13,13,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mike Glennon,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bruce Gradkowski,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Robert Griffin III,N/A,18,9,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rex Grossman,N/A,N/A,N/A,N/A,N/A,10,3,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joey Harrington,N/A,N/A,N/A,4,6,10,5,3,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dwayne Haskins,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brett Hundley,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tarvaris Jackson,N/A,N/A,N/A,7,4,1,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Landry Jones,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Colin Kaepernick,N/A,N/A,N/A,N/A,9,15,12,4,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cody Kessler,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DeShone Kizer,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kevin Kolb,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
