Player,AV,Age,Pos,-9999
Dustin Colquitt,1,23,P,ColqDu20
Dustin Colquitt,3,24,P,ColqDu20
Dustin Colquitt,3,25,P,ColqDu20
Dustin Colquitt,2,26,P,ColqDu20
Dustin Colquitt,3,27,P,ColqDu20
Dustin Colquitt,2,28,P,ColqDu20
Dustin Colquitt,3,29,P,ColqDu20
Dustin Colquitt,3,30,P,ColqDu20
Dustin Colquitt,2,31,P,ColqDu20
Dustin Colquitt,2,32,P,ColqDu20
Dustin Colquitt,2,33,P,ColqDu20
Dustin Colquitt,2,34,P,ColqDu20
Dustin Colquitt,2,35,P,ColqDu20
Dustin Colquitt,2,36,P,ColqDu20
Dustin Colquitt,2,37,P,ColqDu20
Dustin Colquitt,1,39,P,ColqDu20
Matt Dodge,2,23,P,DodgMa99
Lac Edwards,1,24,P,EdwaLa01
Lac Edwards,3,25,P,EdwaLa01
Lac Edwards,3,26,P,EdwaLa01
Lac Edwards,3,27,P,EdwaLa01
Lac Edwards,1,29,P,EdwaLa01
Brandon Fields,2,23,P,FielBr20
Brandon Fields,2,24,P,FielBr20
Brandon Fields,3,25,P,FielBr20
Brandon Fields,3,26,P,FielBr20
Brandon Fields,4,27,P,FielBr20
Brandon Fields,4,28,P,FielBr20
Brandon Fields,4,29,P,FielBr20
Brandon Fields,2,30,P,FielBr20
Reggie Hodges,1,26,P,HodgRe20
Reggie Hodges,3,28,P,HodgRe20
Reggie Hodges,1,30,P,HodgRe20
Sterling Hofrichter,1,24,P,HofrSt00
Kevin Huber,2,24,P,HubeKe20
Kevin Huber,1,25,P,HubeKe20
Kevin Huber,2,26,P,HubeKe20
Kevin Huber,3,27,P,HubeKe20
Kevin Huber,2,28,P,HubeKe20
Kevin Huber,3,29,P,HubeKe20
Kevin Huber,2,30,P,HubeKe20
Kevin Huber,3,31,P,HubeKe20
Kevin Huber,2,32,P,HubeKe20
Kevin Huber,2,33,P,HubeKe20
Kevin Huber,2,34,P,HubeKe20
Kevin Huber,3,35,P,HubeKe20
Kevin Huber,3,36,P,HubeKe20
Kevin Huber,1,37,P,HubeKe20
Eddie Johnson,1,22,P,JohnEd22
Donnie Jones,3,25,P,JoneDo21
Donnie Jones,2,26,P,JoneDo21
Donnie Jones,4,27,P,JoneDo21
Donnie Jones,5,28,P,JoneDo21
Donnie Jones,3,29,P,JoneDo21
Donnie Jones,3,30,P,JoneDo21
Donnie Jones,2,31,P,JoneDo21
Donnie Jones,3,32,P,JoneDo21
Donnie Jones,2,33,P,JoneDo21
Donnie Jones,2,34,P,JoneDo21
Donnie Jones,2,35,P,JoneDo21
Donnie Jones,2,36,P,JoneDo21
Donnie Jones,2,37,P,JoneDo21
Donnie Jones,1,38,P,JoneDo21
Drew Kaser,2,23,P,KaseDr00
Drew Kaser,3,24,P,KaseDr00
Sam Koch,2,24,P,KochSa20
Sam Koch,2,25,P,KochSa20
Sam Koch,3,26,P,KochSa20
Sam Koch,2,27,P,KochSa20
Sam Koch,2,28,P,KochSa20
Sam Koch,3,29,P,KochSa20
Sam Koch,3,30,P,KochSa20
Sam Koch,2,31,P,KochSa20
Sam Koch,3,32,P,KochSa20
Sam Koch,3,33,P,KochSa20
Sam Koch,2,34,P,KochSa20
Sam Koch,2,35,P,KochSa20
Sam Koch,3,36,P,KochSa20
Sam Koch,2,37,P,KochSa20
Sam Koch,2,38,P,KochSa20
Sam Koch,2,39,P,KochSa20
Andy Lee,2,22,P,LeexAn20
Andy Lee,1,23,P,LeexAn20
Andy Lee,3,24,P,LeexAn20
Andy Lee,4,25,P,LeexAn20
Andy Lee,3,26,P,LeexAn20
Andy Lee,4,27,P,LeexAn20
Andy Lee,3,28,P,LeexAn20
Andy Lee,4,29,P,LeexAn20
Andy Lee,3,30,P,LeexAn20
Andy Lee,3,31,P,LeexAn20
Andy Lee,3,32,P,LeexAn20
Andy Lee,3,33,P,LeexAn20
Andy Lee,2,34,P,LeexAn20
Andy Lee,3,35,P,LeexAn20
Andy Lee,4,36,P,LeexAn20
Andy Lee,3,37,P,LeexAn20
Andy Lee,2,38,P,LeexAn20
Andy Lee,3,39,P,LeexAn20
Andy Lee,2,40,P,LeexAn20
Jeff Locke,2,24,P,LockJe00
Jeff Locke,2,25,P,LockJe00
Jeff Locke,1,26,P,LockJe00
Jeff Locke,1,27,P,LockJe00
Zoltan Mesko,2,24,P,MeskZo99
Zoltan Mesko,3,25,P,MeskZo99
Zoltan Mesko,1,26,P,MeskZo99
Brad Nortman,1,23,P,NortBr00
Brad Nortman,3,24,P,NortBr00
Brad Nortman,2,25,P,NortBr00
Brad Nortman,2,26,P,NortBr00
Brad Nortman,3,27,P,NortBr00
Brad Nortman,1,28,P,NortBr00
Pat O'Donnell,2,23,P,ODonPa00
Pat O'Donnell,1,24,P,ODonPa00
Pat O'Donnell,2,25,P,ODonPa00
Pat O'Donnell,3,26,P,ODonPa00
Pat O'Donnell,2,27,P,ODonPa00
Pat O'Donnell,2,28,P,ODonPa00
Pat O'Donnell,3,29,P,ODonPa00
Pat O'Donnell,2,30,P,ODonPa00
Pat O'Donnell,1,31,P,ODonPa00
