Player,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Dustin Colquitt,,1.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,
Lac Edwards,,,1.0,3.0,3.0,3.0,,1.0,,,,,,,,,,,
Brandon Fields,,2.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,,,,,,,,,,
Reggie Hodges,,,,,1.0,,3.0,,1.0,,,,,,,,,,
Kevin Huber,,,2.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,,,
Donnie Jones,,,,3.0,2.0,4.0,5.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,,
Sam Koch,,,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,
Andy Lee,2.0,1.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0
Jeff Locke,,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,
Zoltan Mesko,,,2.0,3.0,1.0,,,,,,,,,,,,,,
Brad Nortman,,1.0,3.0,2.0,2.0,3.0,1.0,,,,,,,,,,,,
Pat O'Donnell,,2.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,,,,,,,,,
Ryan Plackemeier,3.0,1.0,1.0,,,,,,,,,,,,,,,,
Adam Podlesh,,,2.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,
Mike Scifres,,,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,,,,,
Daniel Sepulveda,,2.0,,2.0,2.0,1.0,,,,,,,,,,,,,
Dave Zastudil,,,2.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,,2.0,3.0,3.0,,,,,
