Player,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Dustin Colquitt,N/A,1,3,3,2,3,2,3,3,2,2,2,2,2,2,2,N/A,1,N/A
Matt Dodge,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lac Edwards,N/A,N/A,1,3,3,3,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brandon Fields,N/A,2,2,3,3,4,4,4,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Reggie Hodges,N/A,N/A,N/A,N/A,1,N/A,3,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sterling Hofrichter,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kevin Huber,N/A,N/A,2,1,2,3,2,3,2,3,2,2,2,3,3,1,N/A,N/A,N/A
Eddie Johnson,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Donnie Jones,N/A,N/A,N/A,3,2,4,5,3,3,2,3,2,2,2,2,2,1,N/A,N/A
Drew Kaser,N/A,2,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sam Koch,N/A,N/A,2,2,3,2,2,3,3,2,3,3,2,2,3,2,2,2,N/A
Andy Lee,2,1,3,4,3,4,3,4,3,3,3,3,2,3,4,3,2,3,2
Jeff Locke,N/A,N/A,2,2,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Zoltan Mesko,N/A,N/A,2,3,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brad Nortman,N/A,1,3,2,2,3,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pat O'Donnell,N/A,2,1,2,3,2,2,3,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ryan Plackemeier,3,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adam Podlesh,N/A,N/A,2,1,1,2,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B.J. Sander,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mike Scifres,N/A,N/A,3,3,2,3,3,2,2,3,3,2,2,2,N/A,N/A,N/A,N/A,N/A
Daniel Sepulveda,N/A,2,N/A,2,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Johnny Townsend,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dave Zastudil,N/A,N/A,2,2,1,2,2,1,3,1,N/A,2,3,3,N/A,N/A,N/A,N/A,N/A
