Player,Prime Age
Derek Anderson,25.0
Kyle Boller,23.0
Blake Bortles,24.0
Sam Bradford,24.0
David Carr,26.0
Matt Cassel,27.0
Jay Cutler,25.0
Trent Edwards,25.0
Ryan Fitzpatrick,29.0
Josh Freeman,23.0
David Garrard,30.0
Robert Griffin III,23.0
Joey Harrington,26.0
Tarvaris Jackson,25.0
Colin Kaepernick,26.0
Byron Leftwich,24.0
J.P. Losman,25.0
Andrew Luck,24.0
Eli Manning,30.0
Josh McCown,35.0
Luke McCown,33.0
Cam Newton,23.0
Kyle Orton,27.0
Carson Palmer,27.0
Christian Ponder,24.0
Patrick Ramsey,24.0
Philip Rivers,28.0
Ben Roethlisberger,32.0
Mark Sanchez,24.0
Matt Schaub,28.0
Alex Smith,32.0
Tim Tebow,24.0
Seneca Wallace,27.0
