Player,AV,Age,Pos,-9999
Joseph Addai,15,23,RB,AddaJo00
Joseph Addai,14,24,RB,AddaJo00
Joseph Addai,7,25,RB,AddaJo00
Joseph Addai,10,26,RB,AddaJo00
Joseph Addai,5,27,RB,AddaJo00
Joseph Addai,3,28,RB,AddaJo00
Jay Ajayi,2,22,RB,AjayJa00
Jay Ajayi,10,23,RB,AjayJa00
Jay Ajayi,7,24,RB,AjayJa00
Anthony Allen,1,24,RB,AlleAn01
Javorius Allen,5,24,RB,AlleJa01
Javorius Allen,0,25,RB,AlleJa01
Javorius Allen,7,26,RB,AlleJa01
Javorius Allen,2,27,RB,AlleJa01
Javorius Allen,0,28,RB,AlleJa01
Deon Anderson,1,24,FB,AndeDe01
Deon Anderson,0,25,FB,AndeDe01
Deon Anderson,0,26,FB,AndeDe01
Ryquell Armstead,2,23,RB,ArmsRy00
J.J. Arrington,3,22,RB,ArriJ.00
J.J. Arrington,2,23,RB,ArriJ.00
J.J. Arrington,3,24,RB,ArriJ.00
J.J. Arrington,5,25,RB,ArriJ.00
Cameron Artis-Payne,1,27,RB,ArtiCa00
Cameron Artis-Payne,1,28,RB,ArtiCa00
B.J. Askew,0,23,FB,AskeB.00
B.J. Askew,0,24,FB,AskeB.00
B.J. Askew,0,25,FB,AskeB.00
B.J. Askew,1,26,FB,AskeB.00
B.J. Askew,2,27,FB,AskeB.00
B.J. Askew,1,28,FB,AskeB.00
Montee Ball,5,23,RB,BallMo00
Kalen Ballage,2,23,RB,BallKa00
Kalen Ballage,1,24,RB,BallKa00
Kalen Ballage,3,25,RB,BallKa00
Kalen Ballage,0,26,RB,BallKa00
Vick Ballard,5,22,RB,BallVi00
Marion Barber III,4,22,RB,BarbMa01
Marion Barber III,7,23,RB,BarbMa01
Marion Barber III,11,24,RB,BarbMa01
Marion Barber III,8,25,RB,BarbMa01
Marion Barber III,8,26,RB,BarbMa01
Marion Barber III,3,27,RB,BarbMa01
Marion Barber III,3,28,RB,BarbMa01
Kenjon Barner,0,24,RB,BarnKe00
Kenjon Barner,1,26,RB,BarnKe00
Kenjon Barner,1,27,RB,BarnKe00
Kenjon Barner,1,28,RB,BarnKe00
Kenjon Barner,0,29,RB,BarnKe00
Kenjon Barner,1,30,RB,BarnKe00
Baron Batch,1,25,RB,BatcBa00
Jarrod Baxter,0,23,FB,BaxtJa00
Jarrod Baxter,0,25,FB,BaxtJa00
Jarrod Baxter,0,26,FB,BaxtJa00
Le'Veon Bell,8,21,RB,BellLe00
Le'Veon Bell,17,22,RB,BellLe00
Le'Veon Bell,15,24,RB,BellLe00
Le'Veon Bell,15,25,RB,BellLe00
Le'Veon Bell,5,27,RB,BellLe00
Le'Veon Bell,3,28,RB,BellLe00
Le'Veon Bell,0,29,RB,BellLe00
