Player,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
Nasir Adderley,,,5.0,4.0,5.0,,,,,,,,,,,
Nate Allen,,,5.0,5.0,5.0,7.0,6.0,,,,,,,,,
Ricardo Allen,,,,6.0,5.0,6.0,,5.0,4.0,,,,,,,
Marques Anderson,,,7.0,4.0,4.0,,,,,,,,,,,
O.J. Atogwe,,,,,6.0,7.0,7.0,5.0,8.0,4.0,,,,,,
Yeremiah Bell,,,,,,,,4.0,,6.0,8.0,6.0,7.0,7.0,6.0,
Antoine Bethea,,5.0,9.0,7.0,8.0,5.0,5.0,6.0,7.0,10.0,,6.0,,5.0,6.0,
Michael Boulware,,,,8.0,4.0,1.0,,,,,,,,,,
Hunter Bradley,,,,1.0,1.0,1.0,,,,,,,,,,
Tyvon Branch,,,6.0,6.0,5.0,5.0,,,,,3.0,,,,,
C.C. Brown,,4.0,5.0,5.0,,3.0,3.0,,,,,,,,,
Josh Bullocks,,5.0,7.0,5.0,3.0,,,,,,,,,,,
Morgan Burnett,,5.0,6.0,5.0,5.0,4.0,5.0,3.0,,3.0,,,,,,
Jairus Byrd,,,8.0,5.0,5.0,9.0,7.0,,3.0,5.0,,,,,,
Kam Chancellor,,,10.0,7.0,12.0,10.0,8.0,4.0,3.0,,,,,,,
Patrick Chung,,,4.0,3.0,3.0,4.0,5.0,5.0,6.0,5.0,5.0,6.0,,,,
Ha Ha Clinton-Dix,,4.0,6.0,9.0,5.0,6.0,8.0,,,,,,,,,
Erik Coleman,,9.0,5.0,5.0,,6.0,6.0,,,3.0,,,,,,
Kurt Coleman,,,6.0,5.0,,,7.0,7.0,4.0,3.0,,,,,,
Landon Collins,5.0,14.0,8.0,6.0,5.0,,5.0,,,,,,,,,
Nick Collins,,7.0,6.0,5.0,11.0,11.0,12.0,,,,,,,,,
Chris Conte,,4.0,6.0,5.0,4.0,4.0,5.0,4.0,,,,,,,,
Chris Crocker,,,,3.0,7.0,7.0,6.0,3.0,6.0,3.0,7.0,5.0,,,,
Johnathan Cyprien,,,5.0,6.0,5.0,7.0,4.0,,,,,,,,,
Sean Davis,,,5.0,6.0,6.0,,,,,,,,,,,
Thomas DeCoud,,,,7.0,6.0,7.0,11.0,5.0,4.0,,,,,,,
Louis Delmas,,5.0,5.0,5.0,3.0,6.0,4.0,,,,,,,,,
Quintin Demps,,,,,,,,,4.0,6.0,5.0,,,,,
Zak DeOssie,,,,,1.0,4.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,
Mike Doss,,6.0,3.0,6.0,,,,,,,,,,,,
Reed Doughty,,,,,3.0,,4.0,4.0,4.0,3.0,3.0,,,,,
Glenn Earl,,,3.0,2.0,5.0,,,,,,,,,,,
Josh Evans,,4.0,6.0,4.0,,,,,,,,,,,,
Marcus Gilchrist,,,,,6.0,6.0,7.0,5.0,4.0,5.0,,,,,,
Charles Godfrey,,,7.0,4.0,6.0,4.0,7.0,,,,,,,,,
Dashon Goldson,,,,,8.0,6.0,8.0,9.0,3.0,5.0,6.0,,,,,
Michael Griffin,,5.0,12.0,5.0,11.0,8.0,6.0,5.0,6.0,5.0,3.0,,,,,
Andre Hal,,,6.0,4.0,5.0,,,,,,,,,,,
Ken Hamlin,,6.0,7.0,,7.0,8.0,6.0,5.0,,,,,,,,
Roman Harper,,,,,7.0,6.0,7.0,9.0,7.0,5.0,3.0,7.0,6.0,,,
Chris Harris,,,6.0,3.0,7.0,7.0,6.0,11.0,2.0,,,,,,,
Clark Harris,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
Terrence Holt,,,,,4.0,6.0,5.0,,,,,,,,,
Chris Hope,,,,7.0,7.0,6.0,5.0,11.0,5.0,6.0,,,,,,
Michael Huff,,,5.0,7.0,3.0,5.0,9.0,3.0,,,,,,,,
George Iloka,,,7.0,6.0,5.0,6.0,6.0,,,,,,,,,
Tanard Jackson,,9.0,7.0,6.0,,3.0,,,,,,,,,,
Malcolm Jenkins,,,12.0,6.0,5.0,6.0,6.0,8.0,7.0,10.0,8.0,6.0,7.0,6.0,,
Michael Johnson,,,3.0,7.0,5.0,,,,,,,,,,,
Rashad Johnson,,,,,4.0,,3.0,7.0,6.0,3.0,,,,,,
Byron Jones,,,4.0,6.0,6.0,,,,,,,,,,,
Reshad Jones,,,6.0,8.0,6.0,4.0,9.0,,9.0,5.0,,,,,,
Sean Jones,,,,8.0,6.0,5.0,4.0,7.0,4.0,,,,,,,
Karl Joseph,,,4.0,5.0,3.0,3.0,3.0,,,,,,,,,
Terrence Kiel,,,3.0,6.0,4.0,5.0,,,,,,,,,,
Dawan Landry,,,,7.0,5.0,,7.0,6.0,8.0,6.0,6.0,5.0,,,,
LaRon Landry,,,7.0,9.0,6.0,4.0,3.0,9.0,4.0,3.0,,,,,,
Kendrick Lewis,,5.0,7.0,3.0,5.0,7.0,5.0,,,,,,,,,
Michael Lewis,,,8.0,8.0,7.0,4.0,7.0,6.0,7.0,,,,,,,
Dwight Lowery,,,,,6.0,4.0,,6.0,7.0,6.0,,,,,,
Danieal Manning,,,,6.0,6.0,,4.0,6.0,5.0,7.0,,3.0,,,,
Sherrod Martin,,,,,3.0,5.0,5.0,,,,,,,,,
Chris Massey,,,3.0,1.0,1.0,1.0,2.0,2.0,2.0,,2.0,,,,,
Devin McCourty,,,,,7.0,10.0,6.0,5.0,11.0,7.0,6.0,9.0,6.0,7.0,,
T.J. McDonald,,4.0,6.0,4.0,5.0,3.0,5.0,,,,,,,,,
Jon McGraw,,,,,,,,,,4.0,3.0,4.0,,,,
Brandon Meriweather,,,,6.0,10.0,6.0,,,4.0,4.0,4.0,,,,,
Mike Mitchell,,,,,,7.0,5.0,7.0,7.0,4.0,,,,,,
Rahim Moore,3.0,6.0,4.0,6.0,,,,,,,,,,,,
William Moore,,,,,7.0,5.0,9.0,6.0,,4.0,,,,,,
Nedu Ndukwe,,,5.0,6.0,3.0,,,,,,,,,,,
Reggie Nelson,,,,7.0,5.0,5.0,3.0,8.0,7.0,7.0,7.0,13.0,9.0,6.0,3.0,
Montae Nicholson,,2.0,3.0,5.0,,,,,,,,,,,,
Jermaine Phillips,,,,4.0,4.0,5.0,6.0,8.0,6.0,,,,,,,
Sabby Piscitelli,,,,,3.0,6.0,3.0,3.0,,,,,,,,
Troy Polamalu,,,13.0,14.0,9.0,10.0,17.0,,16.0,17.0,,9.0,4.0,,,
Bernard Pollard,,,6.0,5.0,6.0,4.0,5.0,5.0,6.0,,,,,,,
Ryan Pontbriand,,,,2.0,2.0,1.0,2.0,5.0,4.0,2.0,2.0,1.0,,,,
Brodney Pool,,4.0,6.0,6.0,5.0,5.0,3.0,,,,,,,,,
Calvin Pryor,,4.0,5.0,5.0,,,,,,,,,,,,
Glover Quin,,,,,6.0,7.0,7.0,11.0,6.0,6.0,5.0,6.0,,,,
