Player,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
Hamza Abdullah,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nasir Adderley,N/A,N/A,5,4,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Al Afalava,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gerald Alexander,N/A,N/A,6,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maurice Alexander,N/A,N/A,N/A,3,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jay Alford,N/A,N/A,N/A,1,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Antonio Allen,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jason Allen,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nate Allen,N/A,N/A,5,5,5,7,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ricardo Allen,N/A,N/A,N/A,6,5,6,N/A,5,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Will Allen,N/A,N/A,4,5,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,5,N/A,N/A,N/A
David Amerson,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marques Anderson,N/A,N/A,7,4,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
O.J. Atogwe,N/A,N/A,N/A,N/A,6,7,7,5,8,4,N/A,N/A,N/A,N/A,N/A,N/A
Alan Ball,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dominique Barber,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mark Barron,N/A,N/A,5,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Yeremiah Bell,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,6,8,6,7,7,6,N/A
Eric Berry,N/A,11,N/A,7,12,N/A,10,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Antoine Bethea,N/A,5,9,7,8,5,5,6,7,10,N/A,6,N/A,5,6,N/A
Terreal Bierria,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Will Blackmon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A
Robert Blanton,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tre Boston,N/A,3,N/A,5,7,N/A,5,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michael Boulware,N/A,N/A,N/A,8,4,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hunter Bradley,N/A,N/A,N/A,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Colin Branch,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tyvon Branch,N/A,N/A,6,6,5,5,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
Sam Brandon,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Antoine Brooks Jr.,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C.C. Brown,N/A,4,5,5,N/A,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stevie Brown,N/A,N/A,N/A,N/A,6,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Deone Bucannon,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
