Player,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Mike Adams,N/A,N/A,3,5,3,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hakeem Adeniji,N/A,N/A,N/A,3,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anthony Alabi,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Branden Albert,N/A,N/A,N/A,N/A,6,5,6,5,3,7,5,8,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vadal Alexander,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jeff Allen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Shawn Andrews,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stacy Andrews,N/A,N/A,N/A,N/A,1,3,8,4,2,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sam Baker,N/A,N/A,N/A,3,8,8,4,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Zach Banner,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Allen Barbre,N/A,N/A,N/A,N/A,1,5,N/A,N/A,N/A,1,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joe Barksdale,N/A,N/A,N/A,1,N/A,7,7,8,7,6,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Khalif Barnes,N/A,N/A,N/A,7,9,10,8,N/A,3,8,4,6,4,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alex Barron,N/A,N/A,N/A,6,8,6,5,4,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Zane Beadles,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
