Player,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Dwayne Allen,,,4.0,,3.0,1.0,4.0,1.0,,,,,,,,,,,,
Courtney Anderson,,,,,2.0,3.0,1.0,,,,,,,,,,,,,
Chris Baker,,,,,1.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,,,,,,,,
Gary Barnidge,,,,,2.0,,,1.0,1.0,1.0,6.0,4.0,,,,,,,,
Martellus Bennett,,2.0,1.0,2.0,1.0,7.0,7.0,7.0,4.0,7.0,3.0,,,,,,,,,
Kevin Boss,,,,1.0,4.0,5.0,5.0,3.0,,,,,,,,,,,,
Nick Boyle,,,1.0,,2.0,2.0,4.0,1.0,,,,,,,,,,,,
Jordan Cameron,,,,,2.0,5.0,3.0,3.0,,,,,,,,,,,,
John Carlson,,,,,5.0,4.0,3.0,,,3.0,,,,,,,,,,
Brent Celek,,,2.0,3.0,9.0,5.0,6.0,5.0,4.0,2.0,3.0,1.0,1.0,,,,,,,
Scott Chandler,,,,,,,3.0,5.0,5.0,4.0,3.0,,,,,,,,,
Dallas Clark,,,,,4.0,5.0,6.0,5.0,8.0,10.0,12.0,,2.0,4.0,2.0,,,,,
Charles Clay,,,,,6.0,5.0,5.0,6.0,5.0,1.0,2.0,,,,,,,,,
Jared Cook,,,1.0,4.0,6.0,4.0,6.0,5.0,4.0,4.0,6.0,7.0,7.0,5.0,5.0,,,,,
Chris Cooley,,,2.0,7.0,7.0,7.0,7.0,,5.0,,,,,,,,,,,
Owen Daniels,,,,,3.0,7.0,8.0,5.0,5.0,6.0,6.0,,5.0,3.0,,,,,,
Fred Davis,,,,4.0,2.0,6.0,,,,,,,,,,,,,,
Kellen Davis,,,,,1.0,,2.0,2.0,,,,,,,,,,,,
Vernon Davis,,,3.0,4.0,3.0,9.0,7.0,8.0,5.0,9.0,2.0,2.0,5.0,5.0,3.0,,,,,
Seth Devalve,,,,1.0,3.0,1.0,1.0,,,,,,,,,,,,,
Ed Dickson,,,,1.0,5.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,,,,,,,,
Joel Dreessen,,,,,,1.0,1.0,3.0,6.0,3.0,3.0,,,,,,,,,
Eric Ebron,,2.0,4.0,6.0,5.0,7.0,3.0,5.0,1.0,,,,,,,,,,,
Tyler Eifert,,,,4.0,,6.0,3.0,,,3.0,3.0,,,,,,,,,
Rhett Ellison,,,,,,,2.0,1.0,,2.0,2.0,,,,,,,,,
Anthony Fasano,,,1.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,,,,,,
Jermichael Finley,,1.0,7.0,,9.0,6.0,,,,,,,,,,,,,,
Coby Fleener,,,,,2.0,6.0,7.0,4.0,6.0,3.0,,,,,,,,,,
Bryan Fletcher,,,,,,,3.0,3.0,2.0,,,,,,,,,,,
Michael Gaines,,,,,,2.0,1.0,2.0,2.0,,,,,,,,,,,
John Gilmore,,,,1.0,,,,,,1.0,,1.0,,,,,,,,
Daniel Graham,,,,,1.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,1.0,,,,,,,
Virgil Green,,,,,1.0,,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,
Jermaine Gresham,,,4.0,5.0,7.0,4.0,4.0,2.0,3.0,2.0,1.0,,,,,,,,,
Ryan Griffin,,,,1.0,1.0,2.0,3.0,,3.0,2.0,1.0,2.0,,,,,,,,
