Player,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Jerell Adams,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dwayne Allen,N/A,N/A,4,N/A,3,1,4,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jace Amaro,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Courtney Anderson,N/A,N/A,N/A,N/A,2,3,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David Anderson,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Richard Angulo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Billy Bajema,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chris Baker,N/A,N/A,N/A,N/A,1,2,2,3,3,2,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gary Barnidge,N/A,N/A,N/A,N/A,2,N/A,N/A,1,1,1,6,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Travis Beckum,N/A,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Martellus Bennett,N/A,2,1,2,1,7,7,7,4,7,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tony Bergstrom,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A
Kevin Boss,N/A,N/A,N/A,1,4,5,5,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nick Boyle,N/A,N/A,1,N/A,2,2,4,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jordan Cameron,N/A,N/A,N/A,N/A,2,5,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Carlson,N/A,N/A,N/A,N/A,5,4,3,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
James Casey,N/A,N/A,N/A,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brent Celek,N/A,N/A,2,3,9,5,6,5,4,2,3,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Scott Chandler,N/A,N/A,N/A,N/A,N/A,N/A,3,5,5,4,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Orson Charles,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dallas Clark,N/A,N/A,N/A,N/A,4,5,6,5,8,10,12,N/A,2,4,2,N/A,N/A,N/A,N/A,N/A
