Player,AV,Age,Pos,-9999
Jerell Adams,1,24,TE,AdamJe01
Jerell Adams,1,24,TE,AdamJe01
Dwayne Allen,4,22,TE,AlleDw00
Dwayne Allen,3,24,TE,AlleDw00
Dwayne Allen,1,25,TE,AlleDw00
Dwayne Allen,4,26,TE,AlleDw00
Dwayne Allen,1,27,TE,AlleDw00
Jace Amaro,3,22,TE,AmarJa00
Courtney Anderson,2,24,TE,AndeCo00
Courtney Anderson,3,25,TE,AndeCo00
Courtney Anderson,1,26,TE,AndeCo00
David Anderson,3,26,TE,AndeDa01
Richard Angulo,1,28,TE,AnguRi00
Billy Bajema,1,27,TE,BajeBi00
Billy Bajema,1,28,TE,BajeBi00
Chris Baker,1,24,TE,BakeCh00
Chris Baker,2,25,TE,BakeCh00
Chris Baker,2,26,TE,BakeCh00
Chris Baker,3,27,TE,BakeCh00
Chris Baker,3,28,TE,BakeCh00
Chris Baker,2,29,TE,BakeCh00
Chris Baker,1,30,TE,BakeCh00
Chris Baker,1,31,TE,BakeCh00
Gary Barnidge,2,24,TE,BarnGa01
Gary Barnidge,1,27,TE,BarnGa01
Gary Barnidge,1,28,TE,BarnGa01
Gary Barnidge,1,29,TE,BarnGa01
Gary Barnidge,6,30,TE,BarnGa01
Gary Barnidge,4,31,TE,BarnGa01
Travis Beckum,1,23,TE,BeckTr00
Travis Beckum,1,24,TE,BeckTr00
Martellus Bennett,2,21,TE,BennMa00
Martellus Bennett,1,22,TE,BennMa00
Martellus Bennett,2,23,TE,BennMa00
Martellus Bennett,1,24,TE,BennMa00
Martellus Bennett,7,25,TE,BennMa00
Martellus Bennett,7,26,TE,BennMa00
Martellus Bennett,7,27,TE,BennMa00
Martellus Bennett,4,28,TE,BennMa00
Martellus Bennett,7,29,TE,BennMa00
Martellus Bennett,3,30,TE,BennMa00
Tony Bergstrom,3,33,TE,BergTo00
Kevin Boss,1,23,TE,BossKe00
Kevin Boss,4,24,TE,BossKe00
Kevin Boss,5,25,TE,BossKe00
Kevin Boss,5,26,TE,BossKe00
Kevin Boss,3,27,TE,BossKe00
Nick Boyle,1,22,TE,BoylNi00
Nick Boyle,2,24,TE,BoylNi00
Nick Boyle,2,25,TE,BoylNi00
Nick Boyle,4,26,TE,BoylNi00
Nick Boyle,1,27,TE,BoylNi00
Jordan Cameron,2,24,TE,CameJo00
Jordan Cameron,5,25,TE,CameJo00
Jordan Cameron,3,26,TE,CameJo00
Jordan Cameron,3,27,TE,CameJo00
John Carlson,5,24,TE,CarlJo00
