Player,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Sam Aiken,,,,2.0,1.0,,,1.0,3.0,,,,,,,,
David Anderson,,,,1.0,2.0,,1.0,,,,,,,,,,
Devin Aromashodu,,,,,3.0,1.0,4.0,2.0,,,,,,,,,
Tavon Austin,,,6.0,4.0,7.0,4.0,3.0,,2.0,,1.0,,,,,,
Jason Avant,,,1.0,2.0,3.0,6.0,5.0,5.0,4.0,4.0,4.0,1.0,,,,,
Donnie Avery,,,,5.0,4.0,,,6.0,6.0,,,,,,,,
Stedman Bailey,,,2.0,4.0,1.0,,,,,,,,,,,,
Arnaz Battle,,,,2.0,3.0,7.0,4.0,3.0,,,,,,,,,
Kelvin Benjamin,,,8.0,,7.0,6.0,2.0,,,,,,,,,,
Travis Benjamin,,,3.0,2.0,2.0,7.0,6.0,6.0,2.0,,,,,,,,
Arrelious Benn,,4.0,3.0,,,,,1.0,,,,,,,,,
Earl Bennett,,7.0,5.0,3.0,3.0,2.0,,,,,,,,,,,
Bernard Berrian,,,,1.0,2.0,7.0,6.0,10.0,6.0,2.0,,,,,,,
Anquan Boldin,,,10.0,5.0,10.0,11.0,7.0,11.0,9.0,8.0,8.0,9.0,12.0,8.0,5.0,5.0,
Dwayne Bowe,,,6.0,9.0,4.0,13.0,7.0,5.0,6.0,8.0,,,,,,,
Mark Bradley,,,,3.0,,3.0,3.0,,,,,,,,,,
Deion Branch,,,5.0,7.0,5.0,10.0,6.0,5.0,3.0,3.0,10.0,7.0,2.0,,,,
Steve Breaston,,,,2.0,10.0,6.0,5.0,5.0,,,,,,,,,
Kenny Britt,7.0,8.0,,4.0,1.0,6.0,5.0,6.0,1.0,,,,,,,,
Antonio Brown,,2.0,10.0,6.0,14.0,16.0,17.0,12.0,14.0,10.0,,5.0,,,,,
John Brown,,,,5.0,10.0,4.0,2.0,6.0,9.0,4.0,,,,,,,
Reggie Brown,,,,4.0,7.0,7.0,2.0,1.0,,,,,,,,,
Antonio Bryant,4.0,4.0,6.0,8.0,7.0,,10.0,4.0,,,,,,,,,
Dez Bryant,,7.0,8.0,11.0,12.0,14.0,2.0,8.0,8.0,,,,,,,,
Martavis Bryant,,,5.0,7.0,,6.0,2.0,,,,,,,,,,
Nate Burleson,,5.0,11.0,3.0,3.0,7.0,,6.0,6.0,7.0,,4.0,,,,,
Brice Butler,,,1.0,2.0,,2.0,3.0,,,,,,,,,,
Andre Caldwell,,,,4.0,3.0,3.0,,2.0,,,,,,,,,
Reche Caldwell,,,2.0,1.0,,4.0,8.0,1.0,,,,,,,,,
Tim Carter,,,,2.0,,2.0,3.0,1.0,,,,,,,,,
Mark Clayton,,,3.0,8.0,4.0,8.0,5.0,,,,,,,,,,
Michael Clayton,,9.0,3.0,3.0,3.0,4.0,2.0,,,,,,,,,,
Keary Colbert,,7.0,3.0,,3.0,1.0,,,,,,,,,,,
Corey Coleman,,3.0,2.0,1.0,,,,,,,,,,,,,
Austin Collie,,,,8.0,6.0,4.0,,,,,,,,,,,
Marques Colston,,,10.0,11.0,7.0,11.0,9.0,11.0,9.0,9.0,8.0,4.0,,,,,
Pharoh Cooper,1.0,2.0,,2.0,1.0,,,,,,,,,,,,
Riley Cooper,,,1.0,2.0,2.0,7.0,4.0,2.0,,,,,,,,,
Jerricho Cotchery,,2.0,2.0,10.0,9.0,9.0,7.0,3.0,2.0,2.0,5.0,5.0,6.0,,,,
Michael Crabtree,,6.0,6.0,9.0,10.0,,5.0,8.0,8.0,5.0,5.0,,,,,,
Patrick Crayton,,,,,1.0,3.0,6.0,8.0,4.0,7.0,5.0,3.0,,,,,
Ronald Curry,,,,,6.0,,4.0,6.0,1.0,,,,,,,,
Kevin Curtis,,,,,,3.0,6.0,5.0,9.0,3.0,,,,,,,
Andre' Davis,,,5.0,5.0,,2.0,,9.0,2.0,1.0,,,,,,,
Corey Davis,,3.0,7.0,,11.0,4.0,4.0,,,,,,,,,,
Eric Decker,,,1.0,6.0,9.0,12.0,7.0,9.0,,5.0,,,,,,,
Early Doucet,,,,2.0,2.0,5.0,1.0,,,,,,,,,,
Harry Douglas,,,,5.0,,3.0,5.0,4.0,9.0,5.0,3.0,2.0,,,,,
Julian Edelman,,,4.0,2.0,1.0,4.0,9.0,13.0,7.0,11.0,,9.0,10.0,,,,
Braylon Edwards,,4.0,6.0,13.0,6.0,6.0,7.0,2.0,2.0,,,,,,,,
Bruce Ellington,,,1.0,1.0,,3.0,,,,,,,,,,,
Quincy Enunwa,,,3.0,6.0,,4.0,,,,,,,,,,,
Lee Evans,,,9.0,8.0,11.0,6.0,9.0,5.0,5.0,1.0,,,,,,,
Larry Fitzgerald,6.0,10.0,8.0,12.0,14.0,9.0,7.0,10.0,5.0,7.0,6.0,11.0,9.0,8.0,5.0,7.0,4.0
Michael Floyd,,,3.0,8.0,6.0,8.0,4.0,1.0,1.0,,,,,,,,
Jacoby Ford,,,8.0,3.0,,1.0,,,,,,,,,,,
Will Fuller,,6.0,3.0,,6.0,7.0,,,,,,,,,,,
Devin Funchess,5.0,3.0,8.0,5.0,,,,,,,,,,,,,
Doug Gabriel,,,1.0,5.0,5.0,4.0,,,,,,,,,,,
Jabar Gaffney,,3.0,4.0,6.0,5.0,2.0,6.0,5.0,6.0,7.0,7.0,,,,,,
Justin Gage,,3.0,1.0,3.0,1.0,7.0,6.0,4.0,3.0,,,,,,,,
Pierre Garcon,,,9.0,8.0,7.0,7.0,9.0,5.0,6.0,9.0,4.0,2.0,,,,,
Brandon Gibson,,2.0,5.0,2.0,5.0,,3.0,,,,,,,,,,
Ted Ginn Jr.,,4.0,8.0,6.0,2.0,5.0,,6.0,2.0,9.0,7.0,9.0,,4.0,,,
Chris Givens,,,5.0,5.0,1.0,2.0,,,,,,,,,,,
David Givens,,1.0,4.0,10.0,7.0,,,,,,,,,,,,
Kenny Golladay,,,,4.0,8.0,9.0,,4.0,1.0,,,,,,,,
Josh Gordon,6.0,10.0,,,,,7.0,3.0,,,,,,,,,
Ryan Grant,,,,,2.0,1.0,4.0,3.0,,,,,,,,,
A.J. Green,,,10.0,13.0,13.0,9.0,13.0,7.0,10.0,6.0,,4.0,8.0,2.0,,,
D.J. Hackett,,,,5.0,5.0,,2.0,,,,,,,,,,
Derek Hagan,,2.0,3.0,,1.0,,2.0,2.0,,2.0,,,,,,,
DaeSean Hamilton,,,2.0,2.0,2.0,,,,,,,,,,,,
Leonard Hankerson,,,6.0,2.0,,3.0,,,,,,,,,,,
Justin Hardy,,,,2.0,2.0,2.0,1.0,2.0,,,,,,,,,
Dwayne Harris,,,,,3.0,2.0,1.0,6.0,,,1.0,,,,,,
Brian Hartline,,,5.0,4.0,5.0,8.0,7.0,4.0,3.0,,,,,,,,
Percy Harvin,11.0,9.0,12.0,9.0,,5.0,,,,,,,,,,,
Lavelle Hawkins,,1.0,1.0,,4.0,,,,,,,,,,,,
Devery Henderson,,,2.0,7.0,4.0,8.0,8.0,4.0,5.0,3.0,,,,,,,
Chris Henry,,5.0,6.0,3.0,1.0,2.0,,,,,,,,,,,
Devin Hester,,,,,,6.0,6.0,8.0,6.0,2.0,,,,,,,
Darrius Heyward-Bey,,1.0,4.0,8.0,5.0,3.0,,3.0,1.0,1.0,,,,,,,
Johnnie Lee Higgins,,,,,6.0,2.0,1.0,,,,,,,,,,
Rashard Higgins,,,2.0,4.0,,6.0,2.0,,,,,,,,,,
Jason Hill,,,3.0,1.0,3.0,3.0,,,,,,,,,,,
T.Y. Hilton,,,8.0,10.0,12.0,8.0,14.0,8.0,12.0,4.0,7.0,3.0,,,,,
Domenik Hixon,,,1.0,7.0,3.0,,,6.0,1.0,,,,,,,,
Santonio Holmes,,8.0,11.0,7.0,11.0,6.0,5.0,,3.0,1.0,,,,,,,
Josh Huff,,,2.0,2.0,2.0,,,,,,,,,,,,
Justin Hunter,,3.0,3.0,2.0,2.0,,,,,,,,,,,,
DeSean Jackson,,9.0,14.0,11.0,8.0,5.0,11.0,8.0,4.0,8.0,5.0,6.0,,,4.0,,
Vincent Jackson,,1.0,7.0,7.0,13.0,14.0,,12.0,13.0,10.0,7.0,5.0,,,,,
Alshon Jeffery,,3.0,14.0,9.0,6.0,5.0,7.0,6.0,4.0,,,,,,,,
Michael Jenkins,,1.0,6.0,4.0,4.0,9.0,7.0,6.0,4.0,5.0,,,,,,,
Greg Jennings,,,5.0,9.0,12.0,11.0,11.0,12.0,3.0,8.0,6.0,1.0,,,,,
